Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G0R0A1,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A2,28053,Lac-Etchemin,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A3,19005,Saint-Philémon,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A4,17030,Sainte-Perpétue,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A5,19105,Beaumont,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A6,19090,La Durantaye,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A7,19020,Saint-Léon-de-Standon,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A8,19037,Armagh,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0A9,17045,Saint-Cyrille-de-Lessard,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B1,19068,Saint-Henri,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B2,18020,Sainte-Lucie-de-Beauregard,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B3,19025,Saint-Malachie,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B4,19110,Saint-Michel-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B5,26005,Frampton,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B6,28045,Sainte-Justine,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B7,28070,Saint-Camille-de-Lellis,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B8,19097,Saint-Charles-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0B9,19015,Saint-Nazaire-de-Dorchester,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C1,28075,Saint-Magloire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C2,19062,Saint-Anselme,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C3,19030,Saint-Damien-de-Buckland,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C4,19075,Saint-Gervais,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C5,19045,Saint-Nérée-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C6,14080,Saint-Onésime-d'Ixworth,M,11045119,CISSS du Bas-Saint-Laurent,100,
G0R0C7,18030,Saint-Paul-de-Montminy,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C8,28030,Sainte-Rose-de-Watford,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0C9,19117,Saint-Vallier,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E1,28035,Saint-Louis-de-Gonzague,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E2,18045,Cap-Saint-Ignace,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E3,28060,Saint-Luc-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E4,14085,La Pocatière,V,11045119,CISSS du Bas-Saint-Laurent,100,
G0R0E5,18025,Sainte-Apolline-de-Patton,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E6,19055,Sainte-Claire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E7,17070,Saint-Jean-Port-Joli,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E8,17020,Saint-Marcel,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0E9,18070,Saint-Antoine-de-l'Isle-aux-Grues,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G1,17035,Tourville,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G2,19050,Saint-Lazare-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G3,28053,Lac-Etchemin,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G4,28065,Sainte-Sabine,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G5,18040,Notre-Dame-du-Rosaire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G6,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G7,19082,Saint-Raphaël,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G8,18015,Saint-Fabien-de-Panet,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0G9,17055,Saint-Aubert,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H1,18060,Saint-François-de-la-Rivière-du-Sud,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H2,18055,Saint-Pierre-de-la-Rivière-du-Sud,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H3,28040,Saint-Cyprien,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H4,18065,Berthier-sur-Mer,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H5,19010,Notre-Dame-Auxiliatrice-de-Buckland,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H6,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H7,17065,Saint-Roch-des-Aulnaies,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H8,17010,Saint-Pamphile,V,11045333,CISSS de Chaudière-Appalaches,100,
G0R0H9,17040,Saint-Damase-de-L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0J1,18005,Saint-Just-de-Bretenières,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R0J2,14085,La Pocatière,V,11045119,CISSS du Bas-Saint-Laurent,100,
G0R0J3,28035,Saint-Louis-de-Gonzague,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1A0,18035,Sainte-Euphémie-sur-Rivière-du-Sud,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1A0,19037,Armagh,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1A0,19045,Saint-Nérée-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1B0,28040,Saint-Cyprien,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R1C0,19105,Beaumont,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1E0,18065,Berthier-sur-Mer,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1G0,19010,Notre-Dame-Auxiliatrice-de-Buckland,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R1H0,18045,Cap-Saint-Ignace,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1J0,18045,Cap-Saint-Ignace,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1K0,18045,Cap-Saint-Ignace,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1K0,18005,Saint-Just-de-Bretenières,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1L0,28060,Saint-Luc-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1M0,26005,Frampton,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1N0,19055,Sainte-Claire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1N0,19070,Honfleur,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1P0,18070,Saint-Antoine-de-l'Isle-aux-Grues,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R1R0,28045,Sainte-Justine,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1S0,28053,Lac-Etchemin,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1S0,27035,Saint-Odilon-de-Cranbourne,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R1T0,18010,Lac-Frontière,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1V0,17055,Saint-Aubert,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1W0,19090,La Durantaye,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R1X0,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1Y0,28045,Sainte-Justine,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R1Z0,14065,Rivière-Ouelle,M,11045119,CISSS du Bas-Saint-Laurent,100,
G0R1Z0,14085,La Pocatière,V,11045119,CISSS du Bas-Saint-Laurent,100,
G0R1Z0,14090,Sainte-Anne-de-la-Pocatière,P,11045119,CISSS du Bas-Saint-Laurent,100,
G0R2A0,14090,Sainte-Anne-de-la-Pocatière,P,11045119,CISSS du Bas-Saint-Laurent,100,
G0R2A0,14085,La Pocatière,V,11045119,CISSS du Bas-Saint-Laurent,100,
G0R2B0,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2C0,17078,L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2G0,18060,Saint-François-de-la-Rivière-du-Sud,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2H0,18040,Notre-Dame-du-Rosaire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2J0,18015,Saint-Fabien-de-Panet,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R2K0,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G0R2L0,28035,Saint-Louis-de-Gonzague,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2M0,17015,Saint-Adalbert,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2N0,19062,Saint-Anselme,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2P0,18025,Sainte-Apolline-de-Patton,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R2R0,17070,Saint-Jean-Port-Joli,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2R0,17055,Saint-Aubert,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2S0,28070,Saint-Camille-de-Lellis,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R2T0,19097,Saint-Charles-de-Bellechasse,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2V0,19055,Sainte-Claire,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2W0,17045,Saint-Cyrille-de-Lessard,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R2X0,17060,Sainte-Louise,P,11045333,CISSS de Chaudière-Appalaches,100,
G0R2X0,17040,Saint-Damase-de-L'Islet,M,11045333,CISSS de Chaudière-Appalaches,100,
G0R2Y0,19015,Saint-Nazaire-de-Dorchester,P,11045333,CISSS de Chaudière-Appalaches,100,
