Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G0V0A1,94205,Petit-Saguenay,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A2,94260,Saint-Charles-de-Bourget,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A3,94225,Saint-Félix-d'Otis,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A4,94235,Saint-Fulgence,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A5,94210,L'Anse-Saint-Jean,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A6,94240,Saint-Honoré,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A7,94245,Saint-David-de-Falardeau,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A8,94215,Rivière-Éternité,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0A9,94230,Sainte-Rose-du-Nord,P,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0B1,94220,Ferland-et-Boilleau,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V0B2,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1A0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1B0,94250,Bégin,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1B0,93055,Labrecque,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1C0,94245,Saint-David-de-Falardeau,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1E0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1G0,94260,Saint-Charles-de-Bourget,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1H0,94220,Ferland-et-Boilleau,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1J0,94210,L'Anse-Saint-Jean,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1K0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1L0,94240,Saint-Honoré,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1L0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1M0,94225,Saint-Félix-d'Otis,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1N0,94205,Petit-Saguenay,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,85,
G0V1N0,15904,Sagard,NO,11045135,CIUSSS de la Capitale-Nationale,15,
G0V1P0,94215,Rivière-Éternité,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1R0,94255,Saint-Ambroise,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1R0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1S0,94235,Saint-Fulgence,M,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1S0,94930,Mont-Valin,NO,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1T0,94230,Sainte-Rose-du-Nord,P,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G0V1V0,94068,Saguenay,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
