Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G1J0A1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0A9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,DIRECTION SANCTION DES ETUDES
G1J0B1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0B2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0B3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0B4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,LES JARDINS D'EVANGELINE
G1J0B5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0B6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0B7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1J0B8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,MAISON BEAUPORT
G1J0B9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,EDIFICE GC D'ESTIMAUVILLE
G1J0C1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,AGENCE CANADIENNE D'EVALUATION ENVIRONNEMENTALE
G1J0C2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,BUREAU DE LA TRADUCTION
G1J0C3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,ENVIRONNEMENT CANADA
G1J0C4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,INDUSTRIE CANADA
G1J0C5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,SANTE CANADA
G1J0C6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,GM DEVELOPPEMENT
G1J0C7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,PWGSC TPSGC
G1J0C8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,AVIATION CIVILE
G1J0C9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1J0E6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1J0E7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0E9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1J0G6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE COMMERCIAL
G1J0G8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1J0G9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
