Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G1X0A1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0A9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,DGEQ
G1X0B4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1X0B5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0B9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C2,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C3,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C4,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1X0C5,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1X0C6,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C7,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
G1X0C8,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1X0C9,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,IMMEUBLE A APPARTEMENTS
G1X0E1,23027,Québec,V,11045135,CIUSSS de la Capitale-Nationale,100,
