Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G3B0A1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,MUNICIPALITE DE LAC-BEAUPORT
G3B0A2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0A9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0B9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0C9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E2,22045,Sainte-Brigitte-de-Laval,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E3,22045,Sainte-Brigitte-de-Laval,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0E9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0G9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0H9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0J9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K4,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K5,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K6,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K7,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K8,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0K9,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0L1,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0L2,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3B0L3,22040,Lac-Beauport,M,11045135,CIUSSS de la Capitale-Nationale,100,
