Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G3S0A1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A6,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A7,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A8,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0A9,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B1,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B2,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B3,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B4,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B5,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B6,22025,Saint-Gabriel-de-Valcartier,M,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0B9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0C9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0E9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0G9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0H9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0J9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K6,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K7,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K8,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0K9,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0L1,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0L2,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0L3,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0L4,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
G3S0L5,22020,Shannon,V,11045135,CIUSSS de la Capitale-Nationale,100,
