Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G5M0A1,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A2,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A3,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A4,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A5,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A6,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A7,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A8,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0A9,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B1,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B2,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B3,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B4,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B5,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B6,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B7,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B8,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0B9,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C1,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C2,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C3,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C4,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C5,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C6,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C7,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C8,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0C9,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E1,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E2,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E3,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E4,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E5,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
G5M0E6,10043,Rimouski,V,11045119,CISSS du Bas-Saint-Laurent,100,
