Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G6C0A1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,IMMEUBLE A APPARTEMENTS
G6C0A7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0A9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0B9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0C9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0E9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0G9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0H9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0J9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0K1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6C0K2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
