Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G6K0A1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0A9,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0B8,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C1,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C2,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C3,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C4,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C5,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C6,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
G6K0C7,25213,Lévis,V,11045333,CISSS de Chaudière-Appalaches,100,
