Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G6P0A1,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A2,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A3,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A4,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A5,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A6,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A7,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A8,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0A9,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B1,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B2,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B3,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B4,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B5,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B6,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B7,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0B8,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,LES TIGRES DC VICTORIAVILLE 1991
G6P0B9,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C1,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C2,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C3,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C4,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C5,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C6,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C7,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0C8,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,POSTES CANADA
G6P0E2,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,RESIDENCE BOIS-FRANCS PAVILLLO
G6P0E3,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E4,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E5,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E6,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E7,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E8,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0E9,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G1,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G2,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G3,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G4,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G5,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G6,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G7,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G8,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0G9,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
G6P0H1,39062,Victoriaville,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
