Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
G8G0A1,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A2,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A3,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A4,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A5,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A6,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A7,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A8,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0A9,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B1,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B2,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B3,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B4,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B5,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G0B6,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G1A1,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,VILLE DE METABETCHOUAN-LAC-A-LA-CROIX
G8G1A2,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G1A3,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
G8G1A4,93012,Métabetchouan--Lac-à-la-Croix,V,11045127,CIUSSS du Saguenay – Lac-Saint-Jean,100,
