Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
H4M0A1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,LE 650
H4M0A2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,LES TERRASSES MARCEL-LAURIN
H4M0A3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,LES TERRASSES MARCEL-LAURIN
H4M0A4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 2250 RUE WARD
H4M0A5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE
H4M0A6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE
H4M0A7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,LE FAIRMONT SAINT-LAURENT
H4M0A8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,MIDTOWN
H4M0A9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4M1A9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
