Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
H4N0A1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 990 RUE JULE-POITRAS
H4N0A2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE APPARTEMENTS
H4N0A4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 950 BOUL LEBEAU
H4N0A6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE APPARTEMENTS 384 RUE
H4N0A7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE
H4N0A9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 160 RUE KHALIL-GIBRAN
H4N0B1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,PLACE DE L' ACADIE
H4N0B2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,PLACE DE L'ACADIE
H4N0B3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,PLACE DE L'ACADIE
H4N0B5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0B6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,PLACE DE L'ACADIE
H4N0B8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0B9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0C1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 10200 BOUL DE L'ACAD
H4N0C2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0C4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0C5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE 10150 PLACE DE L'ACAD
H4N0C6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0C7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0C8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE APPARTEMENTS
H4N0C9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,CITE SIGNATURE IMMEUBLE HABITA
H4N0E1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,IMMEUBLE PANORA
H4N0E2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0E3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N0E4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,LES HABITATIONS COMMUNAUTAIRES
H4N0E5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,"TOUR BELVEDERE, VOLTIGE"
H4N0H8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1A9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B7,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B8,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1B9,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1C1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,TOMPSON APARTMENTS
H4N1C2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1C3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1C4,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4N1C5,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
