Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
H4V0A1,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V0A2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V0A3,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,BP MONTREAL COTE-ST-LUC
H4V0A4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V0A5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,IMMEUBLE HABITATION
H4V1A1,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A3,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A6,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A8,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1A9,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B1,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B3,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B6,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B8,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1B9,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C1,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C3,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C6,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C8,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1C9,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E1,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E3,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E6,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E8,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1E9,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G1,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G2,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G3,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,FAIRWAY HOUSE
H4V1G4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G5,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,THE BLUE BIRD HOUSE
H4V1G6,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,THE CROSSROAD APARTMENTS
H4V1G8,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1G9,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H1,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H2,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H3,,,,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H4,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H5,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H6,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H7,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H8,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1H9,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J2,66058,Côte-Saint-Luc,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J3,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J4,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J5,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J6,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J7,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J8,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1J9,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K1,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K2,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K3,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K4,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K5,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K6,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K7,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K8,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1K9,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L1,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L2,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L3,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L4,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L5,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
H4V1L6,66023,Montréal,V,11045176,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,100,
