Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
H4Y0A1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4Y0A2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4Y0A4,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y0A5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,AEROSPORTS DE MONTREAL
H4Y0A6,66097,Pointe-Claire,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A1,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A2,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A3,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A4,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A6,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A8,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1A9,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B1,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B2,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B3,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B4,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4Y1B7,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B8,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1B9,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1C1,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,
H4Y1C2,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,AIR CANADA
H4Y1C3,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,AIR CANADA
H4Y1C5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1C6,66023,Montréal,V,11045192,CIUSSS du Nord-de-l'Île-de-Montréal,100,AIR CANADA - DORVAL
H4Y1C9,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E1,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E2,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E3,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E4,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E6,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E7,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1E9,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G1,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G2,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G3,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G4,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G5,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G6,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
H4Y1G7,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,700 PLACE LEIGH-CAPREOL
H4Y1G8,66087,Dorval,V,11045168,CIUSSS de l'Ouest-de-l'Île-de-Montréal,100,
