Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J0A0A1,39077,Warwick,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A0A2,40032,Saint-Georges-de-Windsor,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A0A3,39025,Tingwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A0A4,40025,Saint-Camille,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A0A5,39097,Kingsey Falls,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A0A6,40047,Danville,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A0A7,40010,Saint-Adrien,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A0A8,39117,Sainte-Clotilde-de-Horton,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A0A9,40017,Wotton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A0B1,39020,Saint-Rémi-de-Tingwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1A0,40043,Val-des-Sources,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1A0,40032,Saint-Georges-de-Windsor,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1A0,40047,Danville,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1A0,42100,Saint-Claude,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1B0,39090,Sainte-Élizabeth-de-Warwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1B0,39097,Kingsey Falls,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1C0,40010,Saint-Adrien,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1E0,39105,Sainte-Séraphine,P,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1E0,39085,Saint-Albert,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1G0,40025,Saint-Camille,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1H0,39117,Sainte-Clotilde-de-Horton,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1J0,40032,Saint-Georges-de-Windsor,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1J0,42100,Saint-Claude,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1K0,39020,Saint-Rémi-de-Tingwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1K0,39025,Tingwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1L0,39025,Tingwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1M0,39090,Sainte-Élizabeth-de-Warwick,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1M0,39077,Warwick,V,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0A1N0,40017,Wotton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0A1N0,40025,Saint-Camille,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
