Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J0B0A1,42025,Saint-Denis-de-Brompton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A2,44055,Sainte-Edwidge-de-Clifton,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A3,49005,Saint-Félix-de-Kingsey,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,100,
J0B0A4,42005,Stoke,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A5,45050,North Hatley,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A6,42098,Richmond,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A7,45035,Ayer's Cliff,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A8,45085,Austin,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0A9,41027,La Patrie,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B1,44060,Martinville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B2,41055,Ascot Corner,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B3,41117,Dudswell,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B4,30010,Notre-Dame-des-Bois,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B5,45008,Stanstead,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B6,44015,Saint-Herménégilde,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B7,41012,Saint-Isidore-de-Clifton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B8,44010,East Hereford,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0B9,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C1,44080,Waterville,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C2,44023,Dixville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C3,41080,Scotstown,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C4,41098,Weedon,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C5,44071,Compton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C6,45060,Sainte-Catherine-de-Hatley,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C7,42070,Kingsbury,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C8,44003,Saint-Malo,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0C9,41020,Chartierville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E1,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E2,45008,Stanstead,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E3,41070,Bury,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E4,42020,Saint-François-Xavier-de-Brompton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E5,41117,Dudswell,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B0E6,41060,East Angus,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1A0,41055,Ascot Corner,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1B0,45085,Austin,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,45025,Stanstead,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,45035,Ayer's Cliff,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,45043,Hatley,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,45060,Sainte-Catherine-de-Hatley,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,44037,Coaticook,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,44045,Barnston-Ouest,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1C0,44050,Stanstead-Est,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1E0,45020,Ogden,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1E0,45008,Stanstead,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1G0,41117,Dudswell,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1G0,41070,Bury,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1H0,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1J0,41037,Newport,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1J0,41085,Lingwick,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1J0,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1J0,41070,Bury,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1K0,41020,Chartierville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1L0,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1L0,44071,Compton,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1M0,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1N0,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1P0,44023,Dixville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1R0,41065,Westbury,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1R0,41060,East Angus,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1R0,41055,Ascot Corner,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1S0,44005,Saint-Venant-de-Paquette,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1S0,44010,East Hereford,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1T0,45025,Stanstead,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1W0,45060,Sainte-Catherine-de-Hatley,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1X0,42070,Kingsbury,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1X0,42075,Melbourne,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1Y0,41075,Hampden,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B1Y0,41027,La Patrie,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2A0,41038,Cookshire-Eaton,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2A0,44060,Martinville,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2B0,42078,Ulverton,M,11045150,CIUSSS de l'Estrie – CHUS,99,
J0B2B0,42075,Melbourne,CT,11045150,CIUSSS de l'Estrie – CHUS,99,
J0B2B0,49025,L'Avenir,M,11045143,CIUSSS de la Mauricie-et-du-Centre-du-Québec,1,
J0B2C0,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2C0,45055,Hatley,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2C0,45050,North Hatley,VL,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2E0,30010,Notre-Dame-des-Bois,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2H0,40047,Danville,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2H0,42110,Cleveland,CT,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2H0,42098,Richmond,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2J0,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2K0,45008,Stanstead,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2L0,41117,Dudswell,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2M0,45080,Saint-Benoît-du-Lac,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J0B2N0,42100,Saint-Claude,M,11045150,CIUSSS de l'Estrie – CHUS,100,
