Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J0W0A1,79097,Ferme-Neuve,M,11045283,CISSS des Laurentides,100,
J0W0A2,79110,Mont-Saint-Michel,M,11045283,CISSS des Laurentides,100,
J0W0A3,83095,Grand-Remous,M,11045218,CISSS de l'Outaouais,100,
J0W0A4,79022,Saint-Aimé-du-Lac-des-Îles,M,11045283,CISSS des Laurentides,100,
J0W0A5,83088,Montcerf-Lytton,M,11045218,CISSS de l'Outaouais,100,
J0W0A6,79060,Lac-Saguay,VL,11045283,CISSS des Laurentides,100,
J0W0A7,79030,Nominingue,M,11045283,CISSS des Laurentides,100,
J0W0A8,79025,Kiamika,M,11045283,CISSS des Laurentides,100,
J0W0A9,79078,Lac-des-Écorces,M,11045283,CISSS des Laurentides,100,
J0W0B1,83090,Aumond,CT,11045218,CISSS de l'Outaouais,100,
J0W0B2,79105,Lac-Saint-Paul,M,11045283,CISSS des Laurentides,100,
J0W0B3,79010,Notre-Dame-de-Pontmain,M,11045283,CISSS des Laurentides,100,
J0W0B4,79078,Lac-des-Écorces,M,11045283,CISSS des Laurentides,100,
J0W0B5,79115,Sainte-Anne-du-Lac,M,11045283,CISSS des Laurentides,100,
J0W1A0,79065,Chute-Saint-Philippe,M,11045283,CISSS des Laurentides,100,
J0W1B0,83060,Messines,M,11045218,CISSS de l'Outaouais,100,
J0W1C0,79088,Mont-Laurier,V,11045283,CISSS des Laurentides,100,
J0W1C0,79922,Lac-Douaire,NO,11045283,CISSS des Laurentides,100,
J0W1C0,79097,Ferme-Neuve,M,11045283,CISSS des Laurentides,100,
J0W1E0,83090,Aumond,CT,11045218,CISSS de l'Outaouais,100,
J0W1E0,83095,Grand-Remous,M,11045218,CISSS de l'Outaouais,100,
J0W1E0,83088,Montcerf-Lytton,M,11045218,CISSS de l'Outaouais,100,
J0W1G0,79025,Kiamika,M,11045283,CISSS des Laurentides,100,
J0W1H0,79065,Chute-Saint-Philippe,M,11045283,CISSS des Laurentides,100,
J0W1H0,79078,Lac-des-Écorces,M,11045283,CISSS des Laurentides,100,
J0W1J0,79022,Saint-Aimé-du-Lac-des-Îles,M,11045283,CISSS des Laurentides,100,
J0W1J0,79010,Notre-Dame-de-Pontmain,M,11045283,CISSS des Laurentides,100,
J0W1K0,79105,Lac-Saint-Paul,M,11045283,CISSS des Laurentides,100,
J0W1L0,79060,Lac-Saguay,VL,11045283,CISSS des Laurentides,100,
J0W1N0,83088,Montcerf-Lytton,M,11045218,CISSS de l'Outaouais,100,
J0W1N0,83075,Egan-Sud,M,11045218,CISSS de l'Outaouais,100,
J0W1P0,79110,Mont-Saint-Michel,M,11045283,CISSS des Laurentides,100,
J0W1R0,79030,Nominingue,M,11045283,CISSS des Laurentides,100,
J0W1R1,79030,Nominingue,M,11045283,CISSS des Laurentides,100,
J0W1S0,79005,Notre-Dame-du-Laus,M,11045283,CISSS des Laurentides,100,
J0W1S0,79015,Lac-du-Cerf,M,11045283,CISSS des Laurentides,100,
J0W1S0,79010,Notre-Dame-de-Pontmain,M,11045283,CISSS des Laurentides,100,
J0W1S1,79015,Lac-du-Cerf,M,11045283,CISSS des Laurentides,100,
J0W1T0,,,,11045218,CISSS de l'Outaouais,100,
J0W1V0,79115,Sainte-Anne-du-Lac,M,11045283,CISSS des Laurentides,100,
J0W1V0,79922,Lac-Douaire,NO,11045283,CISSS des Laurentides,100,
J0W1W0,83090,Aumond,CT,11045218,CISSS de l'Outaouais,100,
J0W1X0,79037,Rivière-Rouge,V,11045283,CISSS des Laurentides,100,
J0W1Y0,79078,Lac-des-Écorces,M,11045283,CISSS des Laurentides,100,
J0W1Y0,79025,Kiamika,M,11045283,CISSS des Laurentides,100,
J0W2B0,79910,Lac-Bazinet,NO,11045283,CISSS des Laurentides,100,
J0W2C0,83804,Lac-Rapide,R,11045218,CISSS de l'Outaouais,100,
J0W2E0,79015,Lac-du-Cerf,M,11045283,CISSS des Laurentides,100,
