Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J0Y0A1,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,,,,
J0Y0A2,99808,Nemaska,TC,,,,
J0Y0A3,88065,Saint-Dominique-du-Rosaire,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0A4,99005,Lebel-sur-Quévillon,V,,,,
J0Y0A5,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,,,,
J0Y0A6,88010,Rochebaucourt,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0A7,88060,Saint-Félix-de-Dalquier,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0A8,88080,Launay,CT,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0A9,86042,Rouyn-Noranda,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B1,88035,Landrienne,CT,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B2,89015,Malartic,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B3,88015,La Morandière,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B4,89040,Senneterre,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B5,99015,Matagami,V,,,,
J0Y0B6,88030,La Corne,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B7,88085,Sainte-Gertrude-Manneville,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B8,88040,Saint-Marc-de-Figuery,P,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0B9,88022,Barraute,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0C1,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,,,,
J0Y0C2,88075,Trécesson,CT,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y0C3,99010,Waswanipi,VC,,,,
J0Y1A0,88022,Barraute,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1B0,99005,Lebel-sur-Quévillon,V,,,,
J0Y1C0,86042,Rouyn-Noranda,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1E0,88005,Champneuf,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1G0,88060,Saint-Félix-de-Dalquier,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1H0,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,,,,
J0Y1J0,88040,Saint-Marc-de-Figuery,P,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1K0,89902,Matchi-Manitou,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1L0,88904,Lac-Chicobi,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1L0,88070,Berry,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1M0,88050,Saint-Mathieu-d'Harricana,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1N0,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,,,,
J0Y1P0,89008,Val-d'Or,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1R0,88030,La Corne,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1S0,88902,Lac-Despinassy,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1S0,88015,La Morandière,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1T0,88045,La Motte,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1V0,88035,Landrienne,CT,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1V0,88055,Amos,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1W0,88080,Launay,CT,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1X0,99005,Lebel-sur-Quévillon,V,,,,
J0Y1Y0,89802,Kitcisakik,EI,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1Y0,89912,Lac-Granet,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1Y0,89910,Réservoir-Dozois,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1Y0,89902,Matchi-Manitou,NO,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1Z0,89010,Rivière-Héva,M,11045226,CISSS de l'Abitibi-Témiscamingue,100,
J0Y1Z0,89008,Val-d'Or,V,11045226,CISSS de l'Abitibi-Témiscamingue,100,
