Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J1H0A1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A5,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A6,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A7,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A8,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0A9,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B5,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B6,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B7,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B8,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0B9,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C5,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C6,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C7,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C8,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0C9,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E3,41055,Ascot Corner,M,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E5,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E6,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E7,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E8,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0E9,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G5,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G6,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,EDIFICE A BUREAUX
J1H0G7,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0G8,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,HOTEL TIMES
J1H0G9,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0H1,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0H2,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0H3,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
J1H0H4,43027,Sherbrooke,V,11045150,CIUSSS de l'Estrie – CHUS,100,
