Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J3L0A1,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A2,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A3,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A4,57010,Carignan,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A5,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A6,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A7,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0A8,55057,Richelieu,V,11045291,CISSS de la Montérégie-Centre,100,IMMEUBLE
J3L0A9,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B1,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B2,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B3,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B4,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B5,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B6,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B7,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B8,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0B9,55065,Saint-Mathias-sur-Richelieu,M,11045291,CISSS de la Montérégie-Centre,100,
J3L0C1,55057,Richelieu,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C2,55057,Richelieu,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C3,55065,Saint-Mathias-sur-Richelieu,M,11045291,CISSS de la Montérégie-Centre,100,
J3L0C4,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C5,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C6,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C7,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0C8,55065,Saint-Mathias-sur-Richelieu,M,11045291,CISSS de la Montérégie-Centre,100,
J3L0E1,55057,Richelieu,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0E2,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0E3,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
J3L0E4,57005,Chambly,V,11045291,CISSS de la Montérégie-Centre,100,
