Code postal,Code mun.,Nom mun.,Statut,Code étab.,Nom étab. CIUSSS/CISSS,CPRTS%,Desc.
J8R0A1,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A4,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A8,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0A9,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B1,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B8,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0B9,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C1,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C4,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C8,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0C9,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E1,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E4,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E8,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0E9,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G4,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0G8,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H1,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H2,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H3,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H4,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H5,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H6,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
J8R0H7,81017,Gatineau,V,11045218,CISSS de l'Outaouais,100,
