Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G0W0A1,94265,Larouche,M,02141,Jonquière,100,
G0W0A2,93075,Sainte-Monique,M,02131,Lac-Saint-Jean-Est,100,
G0W0A3,91005,Lac-Bouchette,M,02111,Domaine-du-Roy,100,
G0W0A4,99804,Mistissini,TC,18011,Territoire Cri,100,
G0W0A5,93025,Hébertville-Station,VL,02131,Lac-Saint-Jean-Est,100,
G0W0A6,93055,Labrecque,M,02131,Lac-Saint-Jean-Est,100,
G0W0A7,91020,Chambord,M,02111,Domaine-du-Roy,100,
G0W0A8,91015,Saint-François-de-Sales,M,02111,Domaine-du-Roy,100,
G0W0A9,93060,Lamarche,M,02131,Lac-Saint-Jean-Est,100,
G0W0B1,91802,Mashteuiatsh,R,02111,Domaine-du-Roy,100,
G0W0B2,93035,Saint-Gédéon,M,02131,Lac-Saint-Jean-Est,100,
G0W0B3,92055,Girardville,M,02121,Maria-Chapdelaine,100,
G0W0B4,92045,Saint-Thomas-Didyme,M,02121,Maria-Chapdelaine,100,
G0W0B5,92015,Sainte-Jeanne-d'Arc,VL,02121,Maria-Chapdelaine,100,
G0W0B6,93080,Saint-Ludger-de-Milot,M,02121,Maria-Chapdelaine,100,
G0W0B7,92010,Péribonka,M,02121,Maria-Chapdelaine,100,
G0W0B8,93030,Saint-Bruno,M,02131,Lac-Saint-Jean-Est,100,
G0W0B9,91030,Sainte-Hedwidge,M,02111,Domaine-du-Roy,100,
G0W0C1,93005,Desbiens,V,02131,Lac-Saint-Jean-Est,100,
G0W0C2,90804,Obedjiwan,R,04111,Haut-Saint-Maurice,100,
G0W0C3,93065,L'Ascension-de-Notre-Seigneur,P,02131,Lac-Saint-Jean-Est,100,
G0W0C4,93045,Saint-Nazaire,M,02131,Lac-Saint-Jean-Est,100,
G0W0C5,99020,Chapais,V,10014,Chibougamau-Chapais,100,
G0W0C6,92005,Saint-Augustin,P,02121,Maria-Chapdelaine,100,
G0W0C7,99818,Oujé-Bougoumou,TC,18011,Territoire Cri,100,
G0W1A0,92030,Albanel,M,02121,Maria-Chapdelaine,100,
G0W1B0,92065,Saint-Eugène-d'Argentenay,M,02121,Maria-Chapdelaine,100,
G0W1B0,92060,Notre-Dame-de-Lorette,M,02121,Maria-Chapdelaine,100,
G0W1C0,99030,Mistissini,VC,18011,Territoire Cri,100,
G0W1C0,99804,Mistissini,TC,18011,Territoire Cri,100,
G0W1E0,92015,Sainte-Jeanne-d'Arc,VL,02121,Maria-Chapdelaine,100,
G0W1G0,91020,Chambord,M,02111,Domaine-du-Roy,100,
G0W1H0,99020,Chapais,V,10014,Chibougamau-Chapais,85,
G0W1H0,99060,Gouvernement régional d'Eeyou Istchee Baie-James,M,10011,Baie-James,15,
G0W1K0,92005,Saint-Augustin,P,02121,Maria-Chapdelaine,100,
G0W1L0,93042,Alma,V,02131,Lac-Saint-Jean-Est,100,
G0W1M0,91015,Saint-François-de-Sales,M,02111,Domaine-du-Roy,100,
G0W1N0,93005,Desbiens,V,02131,Lac-Saint-Jean-Est,100,
G0W1P0,92045,Saint-Thomas-Didyme,M,02121,Maria-Chapdelaine,100,
G0W1R0,92055,Girardville,M,02121,Maria-Chapdelaine,100,
G0W1R0,92904,Rivière-Mistassini,NO,02121,Maria-Chapdelaine,100,
G0W1S0,94068,Saguenay,V,02141,Jonquière,1,
G0W1S0,93020,Hébertville,M,02131,Lac-Saint-Jean-Est,99,
G0W1T0,93025,Hébertville-Station,VL,02131,Lac-Saint-Jean-Est,100,
G0W1V0,90012,La Tuque,V,04111,Haut-Saint-Maurice,1,
G0W1V0,91005,Lac-Bouchette,M,02111,Domaine-du-Roy,99,
G0W1W0,93012,Métabetchouan--Lac-à-la-Croix,V,02131,Lac-Saint-Jean-Est,100,
G0W1X0,93060,Lamarche,M,02131,Lac-Saint-Jean-Est,100,
G0W1Y0,93065,L'Ascension-de-Notre-Seigneur,P,02131,Lac-Saint-Jean-Est,100,
G0W1Z0,94265,Larouche,M,02141,Jonquière,100,
G0W1Z0,94068,Saguenay,V,02141,Jonquière,100,
G0W2A0,93012,Métabetchouan--Lac-à-la-Croix,V,02131,Lac-Saint-Jean-Est,100,
G0W2B0,93080,Saint-Ludger-de-Milot,M,02121,Maria-Chapdelaine,100,
G0W2C0,92015,Sainte-Jeanne-d'Arc,VL,02121,Maria-Chapdelaine,100,
G0W2C0,92902,Passes-Dangereuses,NO,02121,Maria-Chapdelaine,100,
G0W2C0,92022,Dolbeau-Mistassini,V,02121,Maria-Chapdelaine,100,
G0W2C0,92070,Saint-Stanislas,M,02121,Maria-Chapdelaine,100,
G0W2E0,92040,Normandin,V,02121,Maria-Chapdelaine,100,
G0W2E0,92045,Saint-Thomas-Didyme,M,02121,Maria-Chapdelaine,100,
G0W2G0,92010,Péribonka,M,02121,Maria-Chapdelaine,100,
G0W2H0,91802,Mashteuiatsh,R,02111,Domaine-du-Roy,100,
G0W2J0,91050,La Doré,P,02111,Domaine-du-Roy,100,
G0W2K0,91010,Saint-André-du-Lac-Saint-Jean,VL,02111,Domaine-du-Roy,99,
G0W2K0,91020,Chambord,M,02111,Domaine-du-Roy,99,
G0W2K0,93908,Belle-Rivière,NO,02131,Lac-Saint-Jean-Est,1,
G0W2L0,93025,Hébertville-Station,VL,02131,Lac-Saint-Jean-Est,100,
G0W2L0,93030,Saint-Bruno,M,02131,Lac-Saint-Jean-Est,100,
G0W2M0,92050,Saint-Edmond-les-Plaines,M,02121,Maria-Chapdelaine,100,
G0W2N0,91042,Saint-Félicien,V,02111,Domaine-du-Roy,100,
G0W2N0,91902,Lac-Ashuapmushuan,NO,02111,Domaine-du-Roy,100,
G0W2P0,93035,Saint-Gédéon,M,02131,Lac-Saint-Jean-Est,100,
G0W2R0,91030,Sainte-Hedwidge,M,02111,Domaine-du-Roy,100,
G0W2S0,93055,Labrecque,M,02131,Lac-Saint-Jean-Est,100,
G0W2T0,93075,Sainte-Monique,M,02131,Lac-Saint-Jean-Est,100,
G0W2V0,93045,Saint-Nazaire,M,02131,Lac-Saint-Jean-Est,100,
G0W2W0,91035,Saint-Prime,M,02111,Domaine-du-Roy,100,
G0W2X0,93070,Saint-Henri-de-Taillon,M,02131,Lac-Saint-Jean-Est,100,
G0W2Y0,91042,Saint-Félicien,V,02111,Domaine-du-Roy,100,
G0W3B0,90804,Obedjiwan,R,04111,Haut-Saint-Maurice,100,
G0W3C0,99818,Oujé-Bougoumou,TC,18011,Territoire Cri,100,
