Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G1C0A1,23027,Québec,V,03133,Beauport,100,
G1C0A2,23027,Québec,V,03133,Beauport,100,
G1C0A3,23027,Québec,V,03133,Beauport,100,
G1C0A4,23027,Québec,V,03133,Beauport,100,
G1C0A5,23027,Québec,V,03133,Beauport,100,
G1C0A6,23027,Québec,V,03133,Beauport,100,
G1C0A7,23027,Québec,V,03133,Beauport,100,
G1C0A8,23027,Québec,V,03133,Beauport,100,
G1C0A9,23027,Québec,V,03133,Beauport,100,
G1C0B1,23027,Québec,V,03133,Beauport,100,
G1C0B2,23027,Québec,V,03133,Beauport,100,
G1C0B3,23027,Québec,V,03133,Beauport,100,
G1C0B4,23027,Québec,V,03133,Beauport,100,
G1C0B5,23027,Québec,V,03133,Beauport,100,
G1C0B6,23027,Québec,V,03133,Beauport,100,
G1C0B7,23027,Québec,V,03133,Beauport,100,
G1C0B8,23027,Québec,V,03133,Beauport,100,
G1C0B9,23027,Québec,V,03133,Beauport,100,
G1C0C1,23027,Québec,V,03133,Beauport,100,
G1C0C2,23027,Québec,V,03133,Beauport,100,
G1C0C3,23027,Québec,V,03133,Beauport,100,
G1C0C4,23027,Québec,V,03133,Beauport,100,
G1C0C5,23027,Québec,V,03133,Beauport,100,
G1C0C6,23027,Québec,V,03133,Beauport,100,
G1C0C7,23027,Québec,V,03133,Beauport,100,
G1C0C8,23027,Québec,V,03133,Beauport,100,
G1C0C9,23027,Québec,V,03133,Beauport,100,
G1C0E1,23027,Québec,V,03133,Beauport,100,
G1C0E2,23027,Québec,V,03133,Beauport,100,
G1C0E3,23027,Québec,V,03133,Beauport,100,
G1C0E4,23027,Québec,V,03133,Beauport,100,
G1C0E5,23027,Québec,V,03133,Beauport,100,
G1C0E6,23027,Québec,V,03133,Beauport,100,
G1C0E7,23027,Québec,V,03133,Beauport,100,
G1C0E8,23027,Québec,V,03133,Beauport,100,
G1C0E9,23027,Québec,V,03133,Beauport,100,
G1C0G1,23027,Québec,V,03133,Beauport,100,
G1C0G2,23027,Québec,V,03133,Beauport,100,
G1C0G3,23027,Québec,V,03133,Beauport,100,
G1C0G4,23027,Québec,V,03133,Beauport,100,
G1C0G5,23027,Québec,V,03133,Beauport,100,
G1C0G6,23027,Québec,V,03133,Beauport,100,
G1C0G7,23027,Québec,V,03133,Beauport,100,
G1C0G8,23027,Québec,V,03133,Beauport,100,
G1C0G9,23027,Québec,V,03133,Beauport,100,
G1C0H1,23027,Québec,V,03133,Beauport,100,
G1C0H2,23027,Québec,V,03133,Beauport,100,
G1C0H3,23027,Québec,V,03133,Beauport,100,
G1C0H4,23027,Québec,V,03133,Beauport,100,
G1C0H5,23027,Québec,V,03133,Beauport,100,
G1C0H6,23027,Québec,V,03133,Beauport,100,
G1C0H7,23027,Québec,V,03133,Beauport,100,
G1C0H8,23027,Québec,V,03133,Beauport,100,
G1C0H9,23027,Québec,V,03133,Beauport,100,
G1C0J1,23027,Québec,V,03133,Beauport,100,
G1C0J2,23027,Québec,V,03133,Beauport,100,
G1C0J3,23027,Québec,V,03133,Beauport,100,
G1C0J4,23027,Québec,V,03133,Beauport,100,
G1C0J5,23027,Québec,V,03133,Beauport,100,
G1C0J6,23027,Québec,V,03133,Beauport,100,
G1C0J7,23027,Québec,V,03133,Beauport,100,
G1C0J8,23027,Québec,V,03133,Beauport,100,
G1C0J9,23027,Québec,V,03133,Beauport,100,
G1C0K1,23027,Québec,V,03133,Beauport,100,
G1C0K2,23027,Québec,V,03133,Beauport,100,
G1C0K3,23027,Québec,V,03133,Beauport,100,
G1C0K4,23027,Québec,V,03133,Beauport,100,
G1C0K5,23027,Québec,V,03133,Beauport,100,
G1C0K6,23027,Québec,V,03133,Beauport,100,
G1C0K7,23027,Québec,V,03133,Beauport,100,
G1C0K8,23027,Québec,V,03133,Beauport,100,
G1C0K9,23027,Québec,V,03133,Beauport,100,
G1C0L1,23027,Québec,V,03133,Beauport,100,
G1C0L2,23027,Québec,V,03133,Beauport,100,
G1C0L3,23027,Québec,V,03133,Beauport,100,
G1C0L4,23027,Québec,V,03133,Beauport,100,
G1C0L5,23027,Québec,V,03133,Beauport,100,
G1C0L6,23027,Québec,V,03133,Beauport,100,
G1C0L7,23027,Québec,V,03133,Beauport,100,
G1C0L8,23027,Québec,V,03133,Beauport,100,
G1C0L9,23027,Québec,V,03133,Beauport,100,
G1C0M1,23027,Québec,V,03133,Beauport,100,
G1C0M2,23027,Québec,V,03133,Beauport,100,
G1C0M3,23027,Québec,V,03133,Beauport,100,
G1C0M4,23027,Québec,V,03133,Beauport,100,
G1C0M5,23027,Québec,V,03133,Beauport,100,
G1C0M6,23027,Québec,V,03133,Beauport,100,
G1C0M7,23027,Québec,V,03133,Beauport,100,IMMEUBLE A APPARTEMENTS
G1C0M8,23027,Québec,V,03133,Beauport,100,
G1C0M9,23027,Québec,V,03133,Beauport,100,
G1C0N1,23027,Québec,V,03133,Beauport,100,
G1C0N2,23027,Québec,V,03133,Beauport,100,
G1C0N3,23027,Québec,V,03133,Beauport,100,
G1C0N4,23027,Québec,V,03133,Beauport,100,
G1C0N5,23027,Québec,V,03133,Beauport,100,
G1C0N6,23027,Québec,V,03133,Beauport,100,
G1C0N7,23027,Québec,V,03133,Beauport,100,
G1C0N8,23027,Québec,V,03133,Beauport,100,
G1C0N9,23027,Québec,V,03133,Beauport,100,
G1C0P1,23027,Québec,V,03133,Beauport,100,IMMEUBLE A APPARTEMENTS
G1C0P2,23027,Québec,V,03133,Beauport,100,
G1C0P3,23027,Québec,V,03133,Beauport,100,LE LATTE
G1C0P4,23027,Québec,V,03133,Beauport,100,LE LATTE
G1C0P5,23027,Québec,V,03133,Beauport,100,
G1C0P6,23027,Québec,V,03133,Beauport,100,IMMEUBLE A APPARTEMENTS
G1C0P7,23027,Québec,V,03133,Beauport,100,
G1C0P8,23027,Québec,V,03133,Beauport,100,LE ZEPHYR
G1C0P9,23027,Québec,V,03133,Beauport,100,
G1C0R1,23027,Québec,V,03133,Beauport,100,
G1C0R2,23027,Québec,V,03133,Beauport,100,
G1C0R3,23027,Québec,V,03133,Beauport,100,
G1C0R4,23027,Québec,V,03133,Beauport,100,
G1C0R5,23027,Québec,V,03133,Beauport,100,LE LATTE
G1C0R6,23027,Québec,V,03133,Beauport,100,LE LATTE
G1C0R7,23027,Québec,V,03133,Beauport,100,2556 RUE LIONEL-AUDET
G1C0R8,23027,Québec,V,03133,Beauport,100,
G1C0R9,23027,Québec,V,03133,Beauport,100,2525 RUE LIONEL-AUDET
G1C1A1,23027,Québec,V,03133,Beauport,100,
G1C1A2,23027,Québec,V,03133,Beauport,100,
G1C1A3,23027,Québec,V,03133,Beauport,100,
G1C1A4,23027,Québec,V,03133,Beauport,100,
G1C1A5,23027,Québec,V,03133,Beauport,100,
G1C1A6,23027,Québec,V,03133,Beauport,100,
G1C1A7,23027,Québec,V,03133,Beauport,100,
G1C1A8,23027,Québec,V,03133,Beauport,100,
G1C1A9,23027,Québec,V,03133,Beauport,100,
G1C1B1,23027,Québec,V,03133,Beauport,100,
G1C1B2,23027,Québec,V,03133,Beauport,100,
G1C1B3,23027,Québec,V,03133,Beauport,100,
G1C1B4,23027,Québec,V,03133,Beauport,100,
G1C1B5,23027,Québec,V,03133,Beauport,100,
G1C1B6,23027,Québec,V,03133,Beauport,100,
G1C1B7,23027,Québec,V,03133,Beauport,100,
G1C1B8,23027,Québec,V,03133,Beauport,100,
G1C1B9,23027,Québec,V,03133,Beauport,100,
G1C1C1,23027,Québec,V,03133,Beauport,100,
G1C1C2,23027,Québec,V,03133,Beauport,100,
G1C1C3,23027,Québec,V,03133,Beauport,100,
G1C1C4,23027,Québec,V,03133,Beauport,100,
G1C1C5,23027,Québec,V,03133,Beauport,100,
G1C1C6,23027,Québec,V,03133,Beauport,100,
G1C1C7,23027,Québec,V,03133,Beauport,100,
G1C1C8,23027,Québec,V,03133,Beauport,100,
G1C1C9,23027,Québec,V,03133,Beauport,100,
G1C1E1,23027,Québec,V,03133,Beauport,100,
G1C1E2,23027,Québec,V,03133,Beauport,100,
G1C1E3,23027,Québec,V,03133,Beauport,100,
G1C1E4,23027,Québec,V,03133,Beauport,100,
G1C1E5,23027,Québec,V,03133,Beauport,100,
G1C1E6,23027,Québec,V,03133,Beauport,100,
G1C1E7,23027,Québec,V,03133,Beauport,100,
G1C1E8,23027,Québec,V,03133,Beauport,100,
G1C1E9,23027,Québec,V,03133,Beauport,100,
G1C1G1,23027,Québec,V,03133,Beauport,100,
G1C1G2,23027,Québec,V,03133,Beauport,100,
G1C1G3,23027,Québec,V,03133,Beauport,100,
G1C1G4,23027,Québec,V,03133,Beauport,100,
G1C1G5,23027,Québec,V,03133,Beauport,100,
G1C1G6,23027,Québec,V,03133,Beauport,100,
G1C1G7,23027,Québec,V,03133,Beauport,100,
G1C1G8,23027,Québec,V,03133,Beauport,100,
G1C1G9,23027,Québec,V,03133,Beauport,100,
G1C1H1,23027,Québec,V,03133,Beauport,100,
G1C1H2,23027,Québec,V,03133,Beauport,100,
G1C1H3,23027,Québec,V,03133,Beauport,100,
G1C1H4,23027,Québec,V,03133,Beauport,100,
G1C1H5,23027,Québec,V,03133,Beauport,100,
G1C1H6,23027,Québec,V,03133,Beauport,100,
G1C1H7,23027,Québec,V,03133,Beauport,100,
G1C1H8,23027,Québec,V,03133,Beauport,100,
G1C1H9,23027,Québec,V,03133,Beauport,100,
G1C1J1,23027,Québec,V,03133,Beauport,100,
G1C1J2,23027,Québec,V,03133,Beauport,100,
G1C1J3,23027,Québec,V,03133,Beauport,100,
G1C1J4,23027,Québec,V,03133,Beauport,100,
G1C1J5,23027,Québec,V,03133,Beauport,100,
G1C1J6,23027,Québec,V,03133,Beauport,100,
G1C1J7,23027,Québec,V,03133,Beauport,100,
G1C1J8,23027,Québec,V,03133,Beauport,100,
G1C1J9,23027,Québec,V,03133,Beauport,100,
G1C1K1,23027,Québec,V,03133,Beauport,100,
G1C1K2,23027,Québec,V,03133,Beauport,100,
G1C1K3,23027,Québec,V,03133,Beauport,100,
G1C1K4,23027,Québec,V,03133,Beauport,100,
G1C1K5,23027,Québec,V,03133,Beauport,100,
G1C1K6,23027,Québec,V,03133,Beauport,100,
G1C1K7,23027,Québec,V,03133,Beauport,100,
G1C1K8,23027,Québec,V,03133,Beauport,100,
G1C1K9,23027,Québec,V,03133,Beauport,100,
G1C1L1,23027,Québec,V,03133,Beauport,100,
G1C1L2,23027,Québec,V,03133,Beauport,100,
G1C1L3,23027,Québec,V,03133,Beauport,100,
G1C1L4,23027,Québec,V,03133,Beauport,100,
