Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G1H0A1,23027,Québec,V,03132,Charlesbourg,100,
G1H0A2,23027,Québec,V,03132,Charlesbourg,100,
G1H0A3,23027,Québec,V,03132,Charlesbourg,100,
G1H0A4,23027,Québec,V,03132,Charlesbourg,100,
G1H0A5,23027,Québec,V,03132,Charlesbourg,100,
G1H0A6,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLES A LOGEMENTS
G1H0A7,23027,Québec,V,03132,Charlesbourg,100,
G1H0A8,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLE A APPARTEMENTS
G1H0A9,23027,Québec,V,03132,Charlesbourg,100,LES JARDINS DE LA NOBLESSE
G1H0B1,23027,Québec,V,03132,Charlesbourg,100,QUEBEC PDF CHARLESBOURG
G1H0B2,23027,Québec,V,03132,Charlesbourg,100,
G1H0B3,23027,Québec,V,03132,Charlesbourg,100,
G1H0B4,23027,Québec,V,03132,Charlesbourg,100,
G1H0B5,23027,Québec,V,03132,Charlesbourg,100,
G1H0B6,23027,Québec,V,03132,Charlesbourg,100,LE MARIA-GORETTI
G1H0B7,23027,Québec,V,03132,Charlesbourg,100,
G1H0B9,23027,Québec,V,03132,Charlesbourg,100,
G1H0C1,23027,Québec,V,03132,Charlesbourg,100,
G1H0C2,23027,Québec,V,03132,Charlesbourg,100,LE LUXENBOURG I
G1H0C3,23027,Québec,V,03132,Charlesbourg,100,
G1H0C4,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLE A APPARTEMENTS
G1H0C5,23027,Québec,V,03132,Charlesbourg,100,VILLAS CORTINA
G1H0C6,23027,Québec,V,03132,Charlesbourg,100,VILLAS CORTINA
G1H0C7,23027,Québec,V,03132,Charlesbourg,100,
G1H0C8,23027,Québec,V,03132,Charlesbourg,100,LE LUXENBOURG II
G1H0C9,23027,Québec,V,03132,Charlesbourg,100,LE PROMONTOIRE
G1H0E1,23027,Québec,V,03132,Charlesbourg,100,LE HAVRE DES CHEMINOTS
G1H0E2,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLE A APPARTEMENTS
G1H0E3,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLE A APPARTEMENTS
G1H0E4,23027,Québec,V,03132,Charlesbourg,100,LE LUXENBOURG III
G1H0E5,23027,Québec,V,03132,Charlesbourg,100,LE PROMONTOIRE
G1H0E6,23027,Québec,V,03132,Charlesbourg,100,IMMEUBLE A APPARTEMENTS
G1H0E7,23027,Québec,V,03132,Charlesbourg,100,LE PROMONTOIRE
G1H0E8,23027,Québec,V,03132,Charlesbourg,100,LE LUXENBOURG IV
G1H0E9,23027,Québec,V,03132,Charlesbourg,100,LE LUXENBOURG V
G1H0G1,23027,Québec,V,03132,Charlesbourg,100,HENRI 40 PHASE 2
G1H0G2,23027,Québec,V,03132,Charlesbourg,100,4165 6E AV EST
G1H0G3,23027,Québec,V,03132,Charlesbourg,100,
G1H1A1,23027,Québec,V,03132,Charlesbourg,100,
G1H1A2,23027,Québec,V,03132,Charlesbourg,100,
G1H1A3,23027,Québec,V,03132,Charlesbourg,100,
G1H1A4,23027,Québec,V,03132,Charlesbourg,100,
G1H1A6,23027,Québec,V,03132,Charlesbourg,100,
G1H1A7,23027,Québec,V,03132,Charlesbourg,100,
G1H1A8,23027,Québec,V,03132,Charlesbourg,100,
G1H1A9,23027,Québec,V,03132,Charlesbourg,100,
G1H1B1,23027,Québec,V,03132,Charlesbourg,100,
G1H1B2,23027,Québec,V,03132,Charlesbourg,100,
G1H1B3,23027,Québec,V,03132,Charlesbourg,100,
G1H1B4,23027,Québec,V,03132,Charlesbourg,100,
G1H1B5,23027,Québec,V,03132,Charlesbourg,100,
G1H1B6,23027,Québec,V,03132,Charlesbourg,100,
G1H1B7,23027,Québec,V,03132,Charlesbourg,100,
G1H1B8,23027,Québec,V,03132,Charlesbourg,100,
G1H1B9,23027,Québec,V,03132,Charlesbourg,100,
G1H1C1,23027,Québec,V,03132,Charlesbourg,100,
G1H1C2,23027,Québec,V,03132,Charlesbourg,100,
G1H1C3,23027,Québec,V,03132,Charlesbourg,100,
G1H1C4,23027,Québec,V,03132,Charlesbourg,100,
G1H1C5,23027,Québec,V,03132,Charlesbourg,100,
G1H1C6,23027,Québec,V,03132,Charlesbourg,100,
G1H1C7,23027,Québec,V,03132,Charlesbourg,100,
G1H1C8,23027,Québec,V,03132,Charlesbourg,100,
G1H1C9,23027,Québec,V,03132,Charlesbourg,100,
G1H1E1,23027,Québec,V,03132,Charlesbourg,100,
G1H1E2,23027,Québec,V,03132,Charlesbourg,100,
G1H1E3,23027,Québec,V,03132,Charlesbourg,100,
G1H1E4,23027,Québec,V,03132,Charlesbourg,100,
G1H1E5,23027,Québec,V,03132,Charlesbourg,100,JARDIN DE SAVOIE
G1H1E6,23027,Québec,V,03132,Charlesbourg,100,
G1H1E7,23027,Québec,V,03132,Charlesbourg,100,
G1H1E8,23027,Québec,V,03132,Charlesbourg,100,
G1H1E9,23027,Québec,V,03132,Charlesbourg,100,
G1H1G1,23027,Québec,V,03132,Charlesbourg,100,
G1H1G2,23027,Québec,V,03132,Charlesbourg,100,
G1H1G3,23027,Québec,V,03132,Charlesbourg,100,
G1H1G4,23027,Québec,V,03132,Charlesbourg,100,
G1H1G5,23027,Québec,V,03132,Charlesbourg,100,
G1H1G6,23027,Québec,V,03132,Charlesbourg,100,
G1H1G7,23027,Québec,V,03132,Charlesbourg,100,
G1H1G8,23027,Québec,V,03132,Charlesbourg,100,
G1H1G9,23027,Québec,V,03132,Charlesbourg,100,
G1H1H1,23027,Québec,V,03132,Charlesbourg,100,
G1H1H2,23027,Québec,V,03132,Charlesbourg,100,
G1H1H3,23027,Québec,V,03132,Charlesbourg,100,
G1H1H4,23027,Québec,V,03132,Charlesbourg,100,
G1H1H5,23027,Québec,V,03132,Charlesbourg,100,
G1H1H6,23027,Québec,V,03132,Charlesbourg,100,
G1H1H7,23027,Québec,V,03132,Charlesbourg,100,
G1H1H8,23027,Québec,V,03132,Charlesbourg,100,
G1H1H9,23027,Québec,V,03132,Charlesbourg,100,
G1H1J1,23027,Québec,V,03132,Charlesbourg,100,
G1H1J2,23027,Québec,V,03132,Charlesbourg,100,
G1H1J3,23027,Québec,V,03132,Charlesbourg,100,
G1H1J4,23027,Québec,V,03132,Charlesbourg,100,
G1H1J5,23027,Québec,V,03132,Charlesbourg,100,
G1H1J6,23027,Québec,V,03132,Charlesbourg,100,
G1H1J7,23027,Québec,V,03132,Charlesbourg,100,
G1H1J8,23027,Québec,V,03132,Charlesbourg,100,
G1H1J9,23027,Québec,V,03132,Charlesbourg,100,
G1H1K1,23027,Québec,V,03132,Charlesbourg,100,
G1H1K2,23027,Québec,V,03132,Charlesbourg,100,
G1H1K3,23027,Québec,V,03132,Charlesbourg,100,
G1H1K4,23027,Québec,V,03132,Charlesbourg,100,
G1H1K5,23027,Québec,V,03132,Charlesbourg,100,
G1H1K6,23027,Québec,V,03132,Charlesbourg,100,
G1H1K7,23027,Québec,V,03132,Charlesbourg,100,
G1H1K8,23027,Québec,V,03132,Charlesbourg,100,
G1H1K9,23027,Québec,V,03132,Charlesbourg,100,
G1H1L1,23027,Québec,V,03132,Charlesbourg,100,
G1H1L2,23027,Québec,V,03132,Charlesbourg,100,
G1H1L3,23027,Québec,V,03132,Charlesbourg,100,
G1H1L4,23027,Québec,V,03132,Charlesbourg,100,
G1H1L5,23027,Québec,V,03132,Charlesbourg,100,
G1H1L6,23027,Québec,V,03132,Charlesbourg,100,
G1H1L7,23027,Québec,V,03132,Charlesbourg,100,
G1H1L8,23027,Québec,V,03132,Charlesbourg,100,
G1H1L9,23027,Québec,V,03132,Charlesbourg,100,
G1H1M1,23027,Québec,V,03132,Charlesbourg,100,
G1H1M2,23027,Québec,V,03132,Charlesbourg,100,
G1H1M3,23027,Québec,V,03132,Charlesbourg,100,
G1H1M4,23027,Québec,V,03132,Charlesbourg,100,
G1H1M5,23027,Québec,V,03132,Charlesbourg,100,
G1H1M6,23027,Québec,V,03132,Charlesbourg,100,
G1H1M7,23027,Québec,V,03132,Charlesbourg,100,
G1H1M8,23027,Québec,V,03132,Charlesbourg,100,
G1H1M9,23027,Québec,V,03132,Charlesbourg,100,
G1H1N1,23027,Québec,V,03132,Charlesbourg,100,
G1H1N2,23027,Québec,V,03132,Charlesbourg,100,
G1H1N3,23027,Québec,V,03132,Charlesbourg,100,
G1H1N4,23027,Québec,V,03132,Charlesbourg,100,
G1H1N5,23027,Québec,V,03132,Charlesbourg,100,
G1H1N6,23027,Québec,V,03132,Charlesbourg,100,
G1H1N7,23027,Québec,V,03132,Charlesbourg,100,
G1H1N8,23027,Québec,V,03132,Charlesbourg,100,
G1H1N9,23027,Québec,V,03132,Charlesbourg,100,
G1H1P1,23027,Québec,V,03132,Charlesbourg,100,
G1H1P2,23027,Québec,V,03132,Charlesbourg,100,
G1H1P3,23027,Québec,V,03132,Charlesbourg,100,
G1H1P4,23027,Québec,V,03132,Charlesbourg,100,
G1H1P5,23027,Québec,V,03132,Charlesbourg,100,
G1H1P6,23027,Québec,V,03132,Charlesbourg,100,
G1H1P7,23027,Québec,V,03132,Charlesbourg,100,
G1H1P8,23027,Québec,V,03132,Charlesbourg,100,
G1H1P9,23027,Québec,V,03132,Charlesbourg,100,
G1H1R1,23027,Québec,V,03132,Charlesbourg,100,
G1H1R2,23027,Québec,V,03132,Charlesbourg,100,
G1H1R3,23027,Québec,V,03132,Charlesbourg,100,
G1H1R4,23027,Québec,V,03132,Charlesbourg,100,
G1H1R5,23027,Québec,V,03132,Charlesbourg,100,
G1H1R6,23027,Québec,V,03132,Charlesbourg,100,
G1H1R7,23027,Québec,V,03132,Charlesbourg,100,
G1H1R8,23027,Québec,V,03132,Charlesbourg,100,
G1H1R9,23027,Québec,V,03132,Charlesbourg,100,
G1H1S1,23027,Québec,V,03132,Charlesbourg,100,
G1H1S2,23027,Québec,V,03132,Charlesbourg,100,
G1H1S3,23027,Québec,V,03132,Charlesbourg,100,
G1H1S4,23027,Québec,V,03132,Charlesbourg,100,
G1H1S5,23027,Québec,V,03132,Charlesbourg,100,
G1H1S6,23027,Québec,V,03132,Charlesbourg,100,
G1H1S7,23027,Québec,V,03132,Charlesbourg,100,
