Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G6B0A1,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0A2,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0A3,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0A4,30025,Frontenac,M,05191,Granit,100,
G6B0A5,30025,Frontenac,M,05191,Granit,100,
G6B0A6,30025,Frontenac,M,05191,Granit,100,
G6B0A7,30025,Frontenac,M,05191,Granit,100,
G6B0A8,30025,Frontenac,M,05191,Granit,100,
G6B0A9,30025,Frontenac,M,05191,Granit,100,
G6B0B1,30025,Frontenac,M,05191,Granit,100,
G6B0B2,30025,Frontenac,M,05191,Granit,100,
G6B0B3,30025,Frontenac,M,05191,Granit,100,
G6B0B4,30025,Frontenac,M,05191,Granit,100,
G6B0B5,30025,Frontenac,M,05191,Granit,100,
G6B0B6,30025,Frontenac,M,05191,Granit,100,
G6B0B7,30025,Frontenac,M,05191,Granit,100,
G6B0B8,30030,Lac-Mégantic,V,05191,Granit,100,POSTES CANADA
G6B0B9,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C1,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C2,30025,Frontenac,M,05191,Granit,100,
G6B0C3,30045,Nantes,M,05191,Granit,100,
G6B0C4,30045,Nantes,M,05191,Granit,100,
G6B0C5,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C6,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C7,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C8,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0C9,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E1,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E2,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E3,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E4,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E5,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E6,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E7,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E8,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0E9,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0G1,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0G2,30045,Nantes,M,05191,Granit,100,
G6B0G3,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0G4,30025,Frontenac,M,05191,Granit,100,
G6B0G5,30045,Nantes,M,05191,Granit,100,
G6B0G6,30045,Nantes,M,05191,Granit,100,
G6B0G7,30045,Nantes,M,05191,Granit,100,
G6B0G8,30045,Nantes,M,05191,Granit,100,
G6B0G9,30045,Nantes,M,05191,Granit,100,
G6B0H1,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H2,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H3,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H4,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H5,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H6,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H7,30030,Lac-Mégantic,V,05191,Granit,100,
G6B0H8,30045,Nantes,M,05191,Granit,100,
G6B0H9,30045,Nantes,M,05191,Granit,100,
G6B0J1,30045,Nantes,M,05191,Granit,100,
G6B0J2,30045,Nantes,M,05191,Granit,100,
G6B1A1,30045,Nantes,M,05191,Granit,100,
G6B1A2,30045,Nantes,M,05191,Granit,100,
G6B1A3,30045,Nantes,M,05191,Granit,100,
G6B1A4,30030,Lac-Mégantic,V,05191,Granit,100,
G6B1A5,30030,Lac-Mégantic,V,05191,Granit,100,
G6B1A6,30030,Lac-Mégantic,V,05191,Granit,100,
G6B1A7,30030,Lac-Mégantic,V,05191,Granit,100,
