Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G6E0A1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0A9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,IMMEUBLES APPARTEMENTS
G6E0B2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0B9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0C9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0E9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,POSTE DE POLICE
G6E0G4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0G9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0H9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0J9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0K9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0L9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0M9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0N9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E0P9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,IMMEUBLE APPARTEMENTS
G6E0R1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1A9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1B9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1C9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E1,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E2,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E3,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E4,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E5,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E6,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E7,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E8,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
G6E1E9,26030,Sainte-Marie,V,12115,La Nouvelle-Beauce,100,
