Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G6S0A1,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A2,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A3,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A4,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A5,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A6,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A7,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A8,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0A9,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B1,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B2,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B3,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B4,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B5,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B6,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B7,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B8,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0B9,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C1,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C2,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C3,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C4,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C5,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C6,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C7,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C8,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0C9,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0E1,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0E2,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0E3,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0E4,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0E5,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0E6,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0E7,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0E8,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0E9,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0G1,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0G2,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0G3,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0G4,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0G5,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0G6,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0G7,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0G8,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0G9,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H1,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H2,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H3,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H4,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H5,39062,Victoriaville,V,04181,Arthabaska,100,
G6S0H6,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0H7,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0H8,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0H9,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J1,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J2,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J3,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J4,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J5,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J6,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J7,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J8,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0J9,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K1,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K2,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K3,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K4,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K5,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K6,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K7,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K8,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0K9,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
G6S0L1,39060,Saint-Christophe-d'Arthabaska,P,04181,Arthabaska,100,
