Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G6Y0A2,25213,Lévis,V,12113,Desjardins,100,
G6Y0A3,25213,Lévis,V,12113,Desjardins,100,
G6Y0A4,25213,Lévis,V,12113,Desjardins,100,
G6Y0A5,25213,Lévis,V,12113,Desjardins,100,
G6Y0A6,25213,Lévis,V,12113,Desjardins,100,
G6Y0A7,25213,Lévis,V,12113,Desjardins,100,
G6Y0A8,25213,Lévis,V,12113,Desjardins,100,
G6Y0A9,25213,Lévis,V,12113,Desjardins,100,
G6Y0B1,25213,Lévis,V,12113,Desjardins,100,
G6Y0B2,25213,Lévis,V,12113,Desjardins,100,
G6Y0B3,25213,Lévis,V,12113,Desjardins,100,
G6Y0B4,25213,Lévis,V,12113,Desjardins,100,
G6Y0B5,25213,Lévis,V,12113,Desjardins,100,
G6Y0B6,25213,Lévis,V,12113,Desjardins,100,
G6Y0B7,25213,Lévis,V,12113,Desjardins,100,
G6Y0B8,25213,Lévis,V,12113,Desjardins,100,APPARTEMENTS
G6Y0B9,25213,Lévis,V,12113,Desjardins,100,
G6Y0C1,25213,Lévis,V,12113,Desjardins,100,
G6Y0C2,25213,Lévis,V,12113,Desjardins,100,
G6Y0C3,25213,Lévis,V,12113,Desjardins,100,APPARTEMENTS
G6Y0C4,25213,Lévis,V,12113,Desjardins,100,APPARTEMENTS
G6Y0C5,25213,Lévis,V,12113,Desjardins,100,
G6Y0C6,25213,Lévis,V,12113,Desjardins,100,
G6Y0C7,25213,Lévis,V,12113,Desjardins,100,
G6Y0C8,25213,Lévis,V,12113,Desjardins,100,
G6Y0C9,25213,Lévis,V,12113,Desjardins,100,
G6Y0E1,25213,Lévis,V,12113,Desjardins,100,
G6Y0E2,25213,Lévis,V,12113,Desjardins,100,
G6Y0E3,25213,Lévis,V,12113,Desjardins,100,
G6Y0E4,25213,Lévis,V,12113,Desjardins,100,
G6Y0E5,25213,Lévis,V,12113,Desjardins,100,
G6Y0E6,25213,Lévis,V,12113,Desjardins,100,
G6Y0E7,25213,Lévis,V,12113,Desjardins,100,
G6Y0E8,25213,Lévis,V,12113,Desjardins,100,
G6Y0E9,25213,Lévis,V,12113,Desjardins,100,
G6Y0G1,25213,Lévis,V,12113,Desjardins,100,
G6Y0G2,25213,Lévis,V,12113,Desjardins,100,IMMEUBLES APPAR TEMENTS
G6Y0G3,25213,Lévis,V,12113,Desjardins,100,
G6Y0G4,25213,Lévis,V,12113,Desjardins,100,
G6Y0G5,25213,Lévis,V,12113,Desjardins,100,CHSLD
G6Y0G6,25213,Lévis,V,12113,Desjardins,100,IMMEUBLES APPARTEMENTS
G6Y0G7,25213,Lévis,V,12113,Desjardins,100,
G6Y0G8,25213,Lévis,V,12113,Desjardins,100,
G6Y0G9,25213,Lévis,V,12113,Desjardins,100,
G6Y0H1,25213,Lévis,V,12113,Desjardins,100,
G6Y0H2,25213,Lévis,V,12113,Desjardins,100,
G6Y0H3,25213,Lévis,V,12113,Desjardins,100,
G6Y0H4,25213,Lévis,V,12113,Desjardins,100,
G6Y0H5,25213,Lévis,V,12113,Desjardins,100,
G6Y0H6,25213,Lévis,V,12113,Desjardins,100,IMMEUBLE APPARTEMENT
G6Y0H7,25213,Lévis,V,12113,Desjardins,100,
G6Y0J4,25213,Lévis,V,12113,Desjardins,100,
G6Y0J5,25213,Lévis,V,12113,Desjardins,100,
G6Y0J6,25213,Lévis,V,12113,Desjardins,100,
G6Y0J7,25213,Lévis,V,12113,Desjardins,100,
G6Y0J8,25213,Lévis,V,12113,Desjardins,100,
G6Y0J9,25213,Lévis,V,12113,Desjardins,100,
G6Y0K1,25213,Lévis,V,12113,Desjardins,100,
G6Y0K2,25213,Lévis,V,12113,Desjardins,100,
G6Y0K3,25213,Lévis,V,12113,Desjardins,100,
G6Y0K6,25213,Lévis,V,12113,Desjardins,100,
G6Y0K7,25213,Lévis,V,12113,Desjardins,100,
G6Y0K8,25213,Lévis,V,12113,Desjardins,100,
G6Y0K9,25213,Lévis,V,12113,Desjardins,100,
G6Y0L1,25213,Lévis,V,12113,Desjardins,100,
G6Y0L2,25213,Lévis,V,12113,Desjardins,100,
G6Y0L3,25213,Lévis,V,12113,Desjardins,100,
G6Y0L4,25213,Lévis,V,12113,Desjardins,100,
G6Y0L5,25213,Lévis,V,12113,Desjardins,100,
G6Y0L6,25213,Lévis,V,12113,Desjardins,100,
G6Y0L7,25213,Lévis,V,12113,Desjardins,100,
G6Y0L8,25213,Lévis,V,12113,Desjardins,100,
G6Y0L9,25213,Lévis,V,12113,Desjardins,100,
G6Y0M1,25213,Lévis,V,12113,Desjardins,100,
G6Y0M3,25213,Lévis,V,12113,Desjardins,100,
G6Y0M9,25213,Lévis,V,12113,Desjardins,100,
G6Y0N1,25213,Lévis,V,12113,Desjardins,100,
G6Y0N2,25213,Lévis,V,12113,Desjardins,100,
G6Y0N3,25213,Lévis,V,12113,Desjardins,100,
G6Y0N6,25213,Lévis,V,12113,Desjardins,100,
G6Y0N7,25213,Lévis,V,12113,Desjardins,100,
G6Y0N8,25213,Lévis,V,12113,Desjardins,100,
G6Y0R1,25213,Lévis,V,12113,Desjardins,100,
G6Y0R2,25213,Lévis,V,12113,Desjardins,100,
G6Y0R3,25213,Lévis,V,12113,Desjardins,100,
G6Y0R4,25213,Lévis,V,12113,Desjardins,100,
G6Y0R5,25213,Lévis,V,12113,Desjardins,100,
G6Y0R6,25213,Lévis,V,12113,Desjardins,100,
G6Y0R7,25213,Lévis,V,12113,Desjardins,100,
G6Y0R8,25213,Lévis,V,12113,Desjardins,100,
G6Y0R9,25213,Lévis,V,12113,Desjardins,100,
G6Y0S2,25213,Lévis,V,12113,Desjardins,100,
G6Y0S3,25213,Lévis,V,12113,Desjardins,100,
G6Y0S4,25213,Lévis,V,12113,Desjardins,100,
