Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G6Z0A1,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A2,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A3,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A4,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A5,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A6,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A7,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,JEAN COUTU ET CLINIQUE MEDICAL
G6Z0A8,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0A9,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B1,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B2,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B3,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B4,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B5,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B6,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B7,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B8,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0B9,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0C1,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0C2,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0C3,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0C4,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
G6Z0C5,25213,Lévis,V,12112,Les Chutes-de-la-Chaudière,100,
