Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G7G0A1,94068,Saguenay,V,02151,Saguenay,100,
G7G0A2,94068,Saguenay,V,02151,Saguenay,100,
G7G0A3,94068,Saguenay,V,02151,Saguenay,100,
G7G0A4,94068,Saguenay,V,02151,Saguenay,100,
G7G0A5,94068,Saguenay,V,02151,Saguenay,100,
G7G0A6,94068,Saguenay,V,02151,Saguenay,100,
G7G0A7,94068,Saguenay,V,02151,Saguenay,100,
G7G0A8,94068,Saguenay,V,02151,Saguenay,100,
G7G0A9,94068,Saguenay,V,02151,Saguenay,100,
G7G0B1,94068,Saguenay,V,02151,Saguenay,100,
G7G0B2,94068,Saguenay,V,02151,Saguenay,100,
G7G0B3,94068,Saguenay,V,02151,Saguenay,100,
G7G0B4,94068,Saguenay,V,02151,Saguenay,100,
G7G0B5,94068,Saguenay,V,02151,Saguenay,100,
G7G0B6,94068,Saguenay,V,02151,Saguenay,100,
G7G0B7,94068,Saguenay,V,02151,Saguenay,100,
G7G0B8,94068,Saguenay,V,02151,Saguenay,100,
G7G0B9,94068,Saguenay,V,02151,Saguenay,100,
G7G0C1,94068,Saguenay,V,02151,Saguenay,100,
G7G0C2,94068,Saguenay,V,02151,Saguenay,100,
G7G0C3,94068,Saguenay,V,02151,Saguenay,100,
G7G0C4,94068,Saguenay,V,02151,Saguenay,100,
G7G0C5,94068,Saguenay,V,02151,Saguenay,100,
G7G0C6,94068,Saguenay,V,02151,Saguenay,100,
G7G0C7,94068,Saguenay,V,02151,Saguenay,100,
G7G0C8,94068,Saguenay,V,02151,Saguenay,100,
G7G0C9,94068,Saguenay,V,02151,Saguenay,100,
G7G0E1,94068,Saguenay,V,02151,Saguenay,100,
G7G0E2,94068,Saguenay,V,02151,Saguenay,100,
G7G0E3,94068,Saguenay,V,02151,Saguenay,100,
G7G0E4,94068,Saguenay,V,02151,Saguenay,100,
G7G0E5,94068,Saguenay,V,02151,Saguenay,100,
G7G0E6,94068,Saguenay,V,02151,Saguenay,100,
G7G0E7,94068,Saguenay,V,02151,Saguenay,100,
G7G0E8,94068,Saguenay,V,02151,Saguenay,100,
G7G0E9,94068,Saguenay,V,02151,Saguenay,100,
G7G0G1,94068,Saguenay,V,02151,Saguenay,100,
G7G0G2,94068,Saguenay,V,02151,Saguenay,100,
G7G0G4,94068,Saguenay,V,02151,Saguenay,100,
G7G0G5,94068,Saguenay,V,02151,Saguenay,100,
G7G0G6,94068,Saguenay,V,02151,Saguenay,100,
G7G0G7,94068,Saguenay,V,02151,Saguenay,100,
G7G0G8,94068,Saguenay,V,02151,Saguenay,100,
G7G0G9,94068,Saguenay,V,02151,Saguenay,100,
G7G0H1,94068,Saguenay,V,02151,Saguenay,100,
G7G0H2,94068,Saguenay,V,02151,Saguenay,100,
G7G0H3,94068,Saguenay,V,02151,Saguenay,100,
G7G0H5,94068,Saguenay,V,02151,Saguenay,100,IMMEUBLES A LOGEMENTS
G7G0H6,94068,Saguenay,V,02151,Saguenay,100,
G7G0H7,94068,Saguenay,V,02151,Saguenay,100,
G7G0H8,94068,Saguenay,V,02151,Saguenay,100,
G7G0H9,94068,Saguenay,V,02151,Saguenay,100,
G7G0J1,94068,Saguenay,V,02151,Saguenay,100,
G7G0J2,94068,Saguenay,V,02151,Saguenay,100,
G7G0J3,94068,Saguenay,V,02151,Saguenay,100,
G7G0J4,94068,Saguenay,V,02151,Saguenay,100,
G7G0J5,94068,Saguenay,V,02151,Saguenay,100,
G7G0J6,94068,Saguenay,V,02151,Saguenay,100,
G7G0J7,94068,Saguenay,V,02151,Saguenay,100,
G7G0J8,94068,Saguenay,V,02151,Saguenay,100,
G7G0J9,94068,Saguenay,V,02151,Saguenay,100,
G7G0K1,94068,Saguenay,V,02151,Saguenay,100,
G7G0K2,94068,Saguenay,V,02151,Saguenay,100,
G7G0K3,94068,Saguenay,V,02151,Saguenay,100,
G7G0K4,94068,Saguenay,V,02151,Saguenay,100,
G7G0K5,94068,Saguenay,V,02151,Saguenay,100,
G7G0K6,94068,Saguenay,V,02151,Saguenay,100,
G7G0K7,94068,Saguenay,V,02151,Saguenay,100,
G7G0K8,94068,Saguenay,V,02151,Saguenay,100,
G7G0K9,94068,Saguenay,V,02151,Saguenay,100,
G7G0L1,94068,Saguenay,V,02151,Saguenay,100,
G7G0L2,94068,Saguenay,V,02151,Saguenay,100,
G7G0L3,94068,Saguenay,V,02151,Saguenay,100,
G7G0L4,94068,Saguenay,V,02151,Saguenay,100,
G7G0L5,94068,Saguenay,V,02151,Saguenay,100,
G7G0L6,94068,Saguenay,V,02151,Saguenay,100,
G7G0L7,94068,Saguenay,V,02151,Saguenay,100,
G7G0L8,94068,Saguenay,V,02151,Saguenay,100,
G7G0L9,94068,Saguenay,V,02151,Saguenay,100,
G7G0M1,94068,Saguenay,V,02151,Saguenay,100,
G7G0M2,94068,Saguenay,V,02151,Saguenay,100,
G7G0M3,94068,Saguenay,V,02151,Saguenay,100,
G7G0M4,94068,Saguenay,V,02151,Saguenay,100,
G7G0M5,94068,Saguenay,V,02151,Saguenay,100,
G7G0M6,94068,Saguenay,V,02151,Saguenay,100,
G7G0M7,94068,Saguenay,V,02151,Saguenay,100,
G7G0M8,94068,Saguenay,V,02151,Saguenay,100,
G7G0M9,94068,Saguenay,V,02151,Saguenay,100,
G7G0N1,94068,Saguenay,V,02151,Saguenay,100,
G7G0N2,94068,Saguenay,V,02151,Saguenay,100,
G7G0N3,94068,Saguenay,V,02151,Saguenay,100,
G7G0N4,94068,Saguenay,V,02151,Saguenay,100,
G7G0N5,94068,Saguenay,V,02151,Saguenay,100,
G7G0N6,94068,Saguenay,V,02151,Saguenay,100,
G7G0N7,94068,Saguenay,V,02151,Saguenay,100,
G7G0N8,94068,Saguenay,V,02151,Saguenay,100,
G7G0N9,94068,Saguenay,V,02151,Saguenay,100,
G7G0P1,94068,Saguenay,V,02151,Saguenay,100,
G7G0P2,94068,Saguenay,V,02151,Saguenay,100,
G7G0P3,94068,Saguenay,V,02151,Saguenay,100,
G7G0P4,94068,Saguenay,V,02151,Saguenay,100,
G7G0P5,94068,Saguenay,V,02151,Saguenay,100,
G7G0P6,94068,Saguenay,V,02151,Saguenay,100,
G7G1A1,94068,Saguenay,V,02151,Saguenay,100,
G7G1A2,94068,Saguenay,V,02151,Saguenay,100,
G7G1A3,94068,Saguenay,V,02151,Saguenay,100,
G7G1A4,94068,Saguenay,V,02151,Saguenay,100,
G7G1A5,94068,Saguenay,V,02151,Saguenay,100,
G7G1A6,94068,Saguenay,V,02151,Saguenay,100,
G7G1A7,94068,Saguenay,V,02151,Saguenay,100,
G7G1A8,94068,Saguenay,V,02151,Saguenay,100,
G7G1A9,94068,Saguenay,V,02151,Saguenay,100,
G7G1B1,94068,Saguenay,V,02151,Saguenay,100,
G7G1B2,94068,Saguenay,V,02151,Saguenay,100,
G7G1B3,94068,Saguenay,V,02151,Saguenay,100,
G7G1B4,94068,Saguenay,V,02151,Saguenay,100,
G7G1B5,94068,Saguenay,V,02151,Saguenay,100,
G7G1B6,94068,Saguenay,V,02151,Saguenay,100,
G7G1B7,94068,Saguenay,V,02151,Saguenay,100,
G7G1B8,94068,Saguenay,V,02151,Saguenay,100,
G7G1B9,94068,Saguenay,V,02151,Saguenay,100,
G7G1C1,94068,Saguenay,V,02151,Saguenay,100,
G7G1C2,94068,Saguenay,V,02151,Saguenay,100,
G7G1C3,94068,Saguenay,V,02151,Saguenay,100,
G7G1C4,94068,Saguenay,V,02151,Saguenay,100,
G7G1C5,94068,Saguenay,V,02151,Saguenay,100,
G7G1C6,94068,Saguenay,V,02151,Saguenay,100,
G7G1C7,94068,Saguenay,V,02151,Saguenay,100,
G7G1C8,94068,Saguenay,V,02151,Saguenay,100,
G7G1C9,94068,Saguenay,V,02151,Saguenay,100,
G7G1E1,94068,Saguenay,V,02151,Saguenay,100,
G7G1E2,94068,Saguenay,V,02151,Saguenay,100,
G7G1E3,94068,Saguenay,V,02151,Saguenay,100,
G7G1E4,94068,Saguenay,V,02151,Saguenay,100,
G7G1E5,94068,Saguenay,V,02151,Saguenay,100,
G7G1E6,94068,Saguenay,V,02151,Saguenay,100,
G7G1E7,94068,Saguenay,V,02151,Saguenay,100,
G7G1E8,94068,Saguenay,V,02151,Saguenay,100,
G7G1E9,94068,Saguenay,V,02151,Saguenay,100,
G7G1G1,94068,Saguenay,V,02151,Saguenay,100,
G7G1G2,94068,Saguenay,V,02151,Saguenay,100,
G7G1G3,94068,Saguenay,V,02151,Saguenay,100,
G7G1G4,94068,Saguenay,V,02151,Saguenay,100,
G7G1G5,94068,Saguenay,V,02151,Saguenay,100,
G7G1G6,94068,Saguenay,V,02151,Saguenay,100,
G7G1G7,94068,Saguenay,V,02151,Saguenay,100,
G7G1G8,94068,Saguenay,V,02151,Saguenay,100,
G7G1G9,94068,Saguenay,V,02151,Saguenay,100,
