Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G9N0A1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A4,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A5,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A6,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,"CRA - SERVICE COMPLAINTS, NATIONAL INTAKE CENTRE"
G9N0A7,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A8,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0A9,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B4,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B5,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B6,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,VALIDITE DE LA CONFIANCE - CONFIANCE VALIDITY
G9N0B7,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,CENTRE BIONEST
G9N0B8,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0B9,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C4,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C5,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C6,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C7,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C8,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0C9,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E4,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E5,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E6,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,CLSC
G9N0E7,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,CHATEAU BELLEVUE
G9N0E8,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0E9,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0G1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0G2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N0G3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A1,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A2,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A3,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A4,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A5,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A6,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A7,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
G9N1A8,36033,Shawinigan,V,04141,Centre-de-la-Mauricie,100,
