Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
G9X0A1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0A7,90017,La Bostonnais,M,04111,Haut-Saint-Maurice,100,
G9X0A8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,POSTES CANADA
G9X0A9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0B9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0C1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X0C2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1A9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1B9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1C9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E7,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E8,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1E9,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G1,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G2,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G3,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G4,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G5,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
G9X1G6,90012,La Tuque,V,04111,Haut-Saint-Maurice,100,
