Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H1L0A1,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A2,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A3,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A4,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A5,66007,Montréal-Est,V,06523,Pointe-aux-Trembles,100,
H1L0A6,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A7,66023,Montréal,V,06524,Mercier-Est,100,
H1L0A8,66023,Montréal,V,06524,Mercier-Est,100,IMMEUBLE
H1L0A9,66023,Montréal,V,06524,Mercier-Est,100,
H1L0B2,66023,Montréal,V,06524,Mercier-Est,100,IMMEUBLE
H1L0B3,66023,Montréal,V,06524,Mercier-Est,100,
H1L0B4,66007,Montréal-Est,V,06523,Pointe-aux-Trembles,100,
H1L0B5,66023,Montréal,V,06524,Mercier-Est,100,
H1L0B6,66023,Montréal,V,06524,Mercier-Est,100,
H1L0B7,66023,Montréal,V,06524,Mercier-Est,100,"COURS BELLERIVE, PH 1"
H1L0B8,66023,Montréal,V,06524,Mercier-Est,100,"COURS BELLERIVE, PH 2"
H1L0B9,66023,Montréal,V,06524,Mercier-Est,100,IMMEUBLE HABITATION
H1L1A1,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A2,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A3,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A4,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A5,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A6,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A7,66023,Montréal,V,06524,Mercier-Est,100,MONT ST-ANTOINE
H1L1A8,66023,Montréal,V,06524,Mercier-Est,100,
H1L1A9,66023,Montréal,V,06524,Mercier-Est,100,
H1L1B1,66023,Montréal,V,06524,Mercier-Est,100,
H1L1B2,66023,Montréal,V,06524,Mercier-Est,100,
H1L1B3,66023,Montréal,V,06524,Mercier-Est,100,
H1L1B4,66023,Montréal,V,06524,Mercier-Est,100,
