Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H1X0A1,66023,Montréal,V,06531,Rosemont,100,
H1X0A2,66023,Montréal,V,06531,Rosemont,100,
H1X0A3,66023,Montréal,V,06531,Rosemont,100,
H1X0A4,66023,Montréal,V,06531,Rosemont,100,
H1X1A1,66023,Montréal,V,06531,Rosemont,100,
H1X1A2,66023,Montréal,V,06511,Saint-Michel,100,
H1X1A3,66023,Montréal,V,06531,Rosemont,100,
H1X1A4,66023,Montréal,V,06511,Saint-Michel,100,
H1X1A5,66023,Montréal,V,06511,Saint-Michel,100,
H1X1A6,66023,Montréal,V,06531,Rosemont,100,
H1X1A7,66023,Montréal,V,06531,Rosemont,100,
H1X1A8,66023,Montréal,V,06511,Saint-Michel,100,
H1X1A9,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B1,66023,Montréal,V,06531,Rosemont,100,
H1X1B2,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B3,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B4,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B5,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B6,66023,Montréal,V,06531,Rosemont,100,
H1X1B7,66023,Montréal,V,06531,Rosemont,100,
H1X1B8,66023,Montréal,V,06511,Saint-Michel,100,
H1X1B9,66023,Montréal,V,06511,Saint-Michel,100,
H1X1C1,66023,Montréal,V,06531,Rosemont,100,
H1X1C2,66023,Montréal,V,06531,Rosemont,100,
H1X1C3,66023,Montréal,V,06531,Rosemont,100,
H1X1C4,66023,Montréal,V,06531,Rosemont,100,
H1X1C5,66023,Montréal,V,06531,Rosemont,100,
H1X1C6,66023,Montréal,V,06531,Rosemont,100,
H1X1C7,66023,Montréal,V,06531,Rosemont,100,
H1X1C8,66023,Montréal,V,06531,Rosemont,100,
H1X1C9,66023,Montréal,V,06531,Rosemont,100,
H1X1E1,66023,Montréal,V,06531,Rosemont,100,
H1X1E2,66023,Montréal,V,06531,Rosemont,100,
H1X1E3,66023,Montréal,V,06531,Rosemont,100,
H1X1E4,66023,Montréal,V,06531,Rosemont,100,
H1X1E5,66023,Montréal,V,06531,Rosemont,100,
H1X1E6,66023,Montréal,V,06531,Rosemont,100,
H1X1E7,66023,Montréal,V,06531,Rosemont,100,
H1X1E8,66023,Montréal,V,06531,Rosemont,100,
H1X1E9,66023,Montréal,V,06531,Rosemont,100,
H1X1G1,66023,Montréal,V,06531,Rosemont,100,
H1X1G2,66023,Montréal,V,06531,Rosemont,100,
H1X1G3,66023,Montréal,V,06531,Rosemont,100,
H1X1G4,66023,Montréal,V,06531,Rosemont,100,
H1X1G5,66023,Montréal,V,06531,Rosemont,100,
H1X1G6,66023,Montréal,V,06531,Rosemont,100,
H1X1G7,66023,Montréal,V,06531,Rosemont,100,
H1X1G8,66023,Montréal,V,06531,Rosemont,100,
H1X1G9,66023,Montréal,V,06531,Rosemont,100,
H1X1H1,66023,Montréal,V,06531,Rosemont,100,
H1X1H2,66023,Montréal,V,06531,Rosemont,100,
H1X1H3,66023,Montréal,V,06531,Rosemont,100,
H1X1H4,66023,Montréal,V,06531,Rosemont,100,
H1X1H5,66023,Montréal,V,06531,Rosemont,100,
H1X1H6,66023,Montréal,V,06531,Rosemont,100,RESIDENCE
H1X1H7,66023,Montréal,V,06531,Rosemont,100,
H1X1H8,66023,Montréal,V,06531,Rosemont,100,
H1X1H9,66023,Montréal,V,06531,Rosemont,100,
H1X1J1,66023,Montréal,V,06531,Rosemont,100,
H1X1J2,66023,Montréal,V,06531,Rosemont,100,
H1X1J3,66023,Montréal,V,06531,Rosemont,100,
H1X1J4,66023,Montréal,V,06531,Rosemont,100,
H1X1J5,66023,Montréal,V,06531,Rosemont,100,IMMEUBLE A APPARTEMENTS
H1X1J6,66023,Montréal,V,06531,Rosemont,100,
H1X1J7,66023,Montréal,V,06531,Rosemont,100,
H1X1J8,66023,Montréal,V,06531,Rosemont,100,
H1X1J9,66023,Montréal,V,06531,Rosemont,100,
H1X1K1,66023,Montréal,V,06531,Rosemont,100,
H1X1K2,66023,Montréal,V,06531,Rosemont,100,
H1X1K3,66023,Montréal,V,06531,Rosemont,100,
H1X1K4,66023,Montréal,V,06531,Rosemont,100,
H1X1K5,66023,Montréal,V,06531,Rosemont,100,
