Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2C0A2,66023,Montréal,V,06421,Ahuntsic,100,CENTRE MISSIONNAIRE STE-THERESE
H2C0A3,66023,Montréal,V,06421,Ahuntsic,100,LES JARDINS MILLEN
H2C0A4,66023,Montréal,V,06421,Ahuntsic,100,
H2C0A5,66023,Montréal,V,06421,Ahuntsic,100,
H2C0A6,66023,Montréal,V,06421,Ahuntsic,100,
H2C0A7,66023,Montréal,V,06421,Ahuntsic,100,
H2C0A8,66023,Montréal,V,06421,Ahuntsic,100,
H2C0A9,66023,Montréal,V,06421,Ahuntsic,100,CONDOS HENRI B
H2C0B1,66023,Montréal,V,06421,Ahuntsic,100,CONDOS HENRI B
H2C0B2,66023,Montréal,V,06421,Ahuntsic,100,
H2C0B3,66023,Montréal,V,06421,Ahuntsic,100,IMMEUBLE APPARTEMENTS
H2C1A1,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A2,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A3,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A4,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A5,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A6,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A7,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A8,66023,Montréal,V,06421,Ahuntsic,100,
H2C1A9,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B1,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B2,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B3,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B4,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B5,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B6,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B7,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B8,66023,Montréal,V,06421,Ahuntsic,100,
H2C1B9,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C1,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C2,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C3,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C4,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C5,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C6,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C7,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C8,66023,Montréal,V,06421,Ahuntsic,100,
H2C1C9,66023,Montréal,V,06421,Ahuntsic,100,
H2C1E1,66023,Montréal,V,06421,Ahuntsic,100,
