Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2E0A1,66023,Montréal,V,06431,Villeray,100,
H2E0A2,66023,Montréal,V,06431,Villeray,100,
H2E0A3,66023,Montréal,V,06431,Villeray,100,
H2E0A4,66023,Montréal,V,06431,Villeray,100,
H2E0A5,66023,Montréal,V,06431,Villeray,100,
H2E1A1,66023,Montréal,V,06431,Villeray,100,
H2E1A2,66023,Montréal,V,06431,Villeray,100,
H2E1A3,66023,Montréal,V,06431,Villeray,100,
H2E1A4,66023,Montréal,V,06431,Villeray,100,
H2E1A5,66023,Montréal,V,06431,Villeray,100,
H2E1A6,66023,Montréal,V,06431,Villeray,100,
H2E1A7,66023,Montréal,V,06431,Villeray,100,
H2E1A8,66023,Montréal,V,06431,Villeray,100,JARDINS JARRY
H2E1A9,66023,Montréal,V,06431,Villeray,100,
H2E1B1,66023,Montréal,V,06431,Villeray,100,
H2E1B2,66023,Montréal,V,06431,Villeray,100,
H2E1B3,66023,Montréal,V,06431,Villeray,100,
H2E1B4,66023,Montréal,V,06431,Villeray,100,
H2E1B5,66023,Montréal,V,06431,Villeray,100,
H2E1B6,66023,Montréal,V,06431,Villeray,100,
H2E1B7,66023,Montréal,V,06431,Villeray,100,
H2E1B8,66023,Montréal,V,06431,Villeray,100,
H2E1B9,66023,Montréal,V,06431,Villeray,100,
H2E1C1,66023,Montréal,V,06431,Villeray,100,
H2E1C2,66023,Montréal,V,06431,Villeray,100,
H2E1C3,66023,Montréal,V,06431,Villeray,100,
H2E1C4,66023,Montréal,V,06431,Villeray,100,
H2E1C5,66023,Montréal,V,06431,Villeray,100,
H2E1C6,66023,Montréal,V,06431,Villeray,100,
H2E1C7,66023,Montréal,V,06431,Villeray,100,
H2E1C8,66023,Montréal,V,06431,Villeray,100,
H2E1C9,66023,Montréal,V,06431,Villeray,100,
H2E1E1,66023,Montréal,V,06431,Villeray,100,
H2E1E2,66023,Montréal,V,06431,Villeray,100,
H2E1E3,66023,Montréal,V,06431,Villeray,100,
H2E1E4,66023,Montréal,V,06431,Villeray,100,
H2E1E5,66023,Montréal,V,06431,Villeray,100,
H2E1E6,66023,Montréal,V,06431,Villeray,100,
H2E1E7,66023,Montréal,V,06431,Villeray,100,
H2E1E8,66023,Montréal,V,06431,Villeray,100,
H2E1E9,66023,Montréal,V,06431,Villeray,100,
H2E1G1,66023,Montréal,V,06431,Villeray,100,
H2E1G2,66023,Montréal,V,06431,Villeray,100,
H2E1G3,66023,Montréal,V,06431,Villeray,100,
H2E1G4,66023,Montréal,V,06431,Villeray,100,
H2E1G5,66023,Montréal,V,06431,Villeray,100,
H2E1G6,66023,Montréal,V,06431,Villeray,100,
H2E1G7,66023,Montréal,V,06431,Villeray,100,
H2E1G8,66023,Montréal,V,06431,Villeray,100,
H2E1G9,66023,Montréal,V,06431,Villeray,100,
H2E1H1,66023,Montréal,V,06431,Villeray,100,
H2E1H2,66023,Montréal,V,06431,Villeray,100,
H2E1H3,66023,Montréal,V,06431,Villeray,100,
H2E1H4,66023,Montréal,V,06431,Villeray,100,
H2E1H5,66023,Montréal,V,06431,Villeray,100,
H2E1H6,66023,Montréal,V,06431,Villeray,100,
H2E1H7,66023,Montréal,V,06431,Villeray,100,
H2E1H8,66023,Montréal,V,06431,Villeray,100,
H2E1H9,66023,Montréal,V,06431,Villeray,100,
H2E1J1,66023,Montréal,V,06431,Villeray,100,
H2E1J2,66023,Montréal,V,06431,Villeray,100,
H2E1J3,66023,Montréal,V,06431,Villeray,100,
H2E1J4,66023,Montréal,V,06431,Villeray,100,
H2E1J5,66023,Montréal,V,06431,Villeray,100,
H2E1J6,66023,Montréal,V,06431,Villeray,100,
H2E1J7,66023,Montréal,V,06431,Villeray,100,
H2E1J8,66023,Montréal,V,06431,Villeray,100,
H2E1J9,66023,Montréal,V,06431,Villeray,100,
H2E1K1,66023,Montréal,V,06431,Villeray,100,
H2E1K2,66023,Montréal,V,06431,Villeray,100,
H2E1K3,66023,Montréal,V,06431,Villeray,100,
H2E1K4,66023,Montréal,V,06431,Villeray,100,
H2E1K5,66023,Montréal,V,06431,Villeray,100,
H2E1K6,66023,Montréal,V,06431,Villeray,100,
H2E1K7,66023,Montréal,V,06431,Villeray,100,
H2E1K8,66023,Montréal,V,06431,Villeray,100,
H2E1K9,66023,Montréal,V,06431,Villeray,100,
H2E1L1,66023,Montréal,V,06431,Villeray,100,
H2E1L2,66023,Montréal,V,06431,Villeray,100,
H2E1L3,66023,Montréal,V,06431,Villeray,100,
H2E1L4,66023,Montréal,V,06431,Villeray,100,
H2E1L5,66023,Montréal,V,06431,Villeray,100,
H2E1L6,66023,Montréal,V,06431,Villeray,100,
H2E1L7,66023,Montréal,V,06431,Villeray,100,
H2E1L8,66023,Montréal,V,06431,Villeray,100,
H2E1L9,66023,Montréal,V,06431,Villeray,100,
H2E1M1,66023,Montréal,V,06431,Villeray,100,
H2E1M2,66023,Montréal,V,06431,Villeray,100,
H2E1M3,66023,Montréal,V,06431,Villeray,100,
H2E1M4,66023,Montréal,V,06431,Villeray,100,
H2E1M5,66023,Montréal,V,06431,Villeray,100,
H2E1M6,66023,Montréal,V,06431,Villeray,100,
H2E1M7,66023,Montréal,V,06431,Villeray,100,
H2E1M8,66023,Montréal,V,06431,Villeray,100,
H2E1M9,66023,Montréal,V,06431,Villeray,100,
H2E1N1,66023,Montréal,V,06431,Villeray,100,
H2E1N2,66023,Montréal,V,06431,Villeray,100,
H2E1N3,66023,Montréal,V,06431,Villeray,100,
H2E1N4,66023,Montréal,V,06431,Villeray,100,
H2E1N5,66023,Montréal,V,06431,Villeray,100,
H2E1N6,66023,Montréal,V,06431,Villeray,100,
H2E1N7,66023,Montréal,V,06431,Villeray,100,
H2E1N8,66023,Montréal,V,06431,Villeray,100,
H2E1N9,66023,Montréal,V,06431,Villeray,100,
H2E1P1,66023,Montréal,V,06431,Villeray,100,
H2E1P2,66023,Montréal,V,06431,Villeray,100,
H2E1P3,66023,Montréal,V,06431,Villeray,100,
H2E1P4,66023,Montréal,V,06431,Villeray,100,
H2E1P5,66023,Montréal,V,06431,Villeray,100,
H2E1P6,66023,Montréal,V,06431,Villeray,100,
H2E1P7,66023,Montréal,V,06431,Villeray,100,
H2E1P8,66023,Montréal,V,06431,Villeray,100,
H2E1R1,66023,Montréal,V,06431,Villeray,100,
H2E1R2,66023,Montréal,V,06431,Villeray,100,
H2E1R3,66023,Montréal,V,06431,Villeray,100,
H2E1R4,66023,Montréal,V,06431,Villeray,100,
H2E1R5,66023,Montréal,V,06431,Villeray,100,
H2E1R6,66023,Montréal,V,06431,Villeray,100,
H2E1R7,66023,Montréal,V,06431,Villeray,100,
H2E1R8,66023,Montréal,V,06431,Villeray,100,
H2E1R9,66023,Montréal,V,06431,Villeray,100,
H2E1S1,66023,Montréal,V,06431,Villeray,100,
H2E1S2,66023,Montréal,V,06431,Villeray,100,
H2E1S3,66023,Montréal,V,06431,Villeray,100,CENTRE DIAGNOSTIQUE DU NORD IN
H2E1S4,66023,Montréal,V,06431,Villeray,100,CENTRE MEDICAL JEAN-TALON
H2E1S6,66023,Montréal,V,06431,Villeray,100,HOPITAL JEAN-TALON
H2E1S7,66023,Montréal,V,06431,Villeray,100,
H2E1S8,66023,Montréal,V,06431,Villeray,100,
H2E1S9,66023,Montréal,V,06431,Villeray,100,
H2E1T1,66023,Montréal,V,06431,Villeray,100,
H2E1T2,66023,Montréal,V,06431,Villeray,100,
H2E1T3,66023,Montréal,V,06431,Villeray,100,
H2E1T4,66023,Montréal,V,06431,Villeray,100,
H2E1T5,66023,Montréal,V,06431,Villeray,100,
H2E1T6,66023,Montréal,V,06431,Villeray,100,
H2E1T7,66023,Montréal,V,06431,Villeray,100,
H2E1T8,66023,Montréal,V,06431,Villeray,100,
H2E1T9,66023,Montréal,V,06431,Villeray,100,
H2E1V1,66023,Montréal,V,06431,Villeray,100,
H2E1V2,66023,Montréal,V,06431,Villeray,100,
H2E1V3,66023,Montréal,V,06431,Villeray,100,
H2E1V4,66023,Montréal,V,06431,Villeray,100,
H2E1V5,66023,Montréal,V,06431,Villeray,100,
H2E1V6,66023,Montréal,V,06431,Villeray,100,
H2E1V7,66023,Montréal,V,06431,Villeray,100,
H2E1V8,66023,Montréal,V,06431,Villeray,100,
H2E1V9,66023,Montréal,V,06431,Villeray,100,
H2E1W1,66023,Montréal,V,06431,Villeray,100,
H2E1W2,66023,Montréal,V,06431,Villeray,100,
H2E1W3,66023,Montréal,V,06431,Villeray,100,
H2E1W4,66023,Montréal,V,06432,Petite Patrie,100,
H2E1W5,66023,Montréal,V,06431,Villeray,100,
H2E1W6,66023,Montréal,V,06431,Villeray,100,
H2E1W7,66023,Montréal,V,06431,Villeray,100,
H2E1W8,66023,Montréal,V,06431,Villeray,100,
H2E1W9,66023,Montréal,V,06431,Villeray,100,
H2E1X1,66023,Montréal,V,06431,Villeray,100,
H2E1X2,66023,Montréal,V,06431,Villeray,100,
H2E1X3,66023,Montréal,V,06431,Villeray,100,
H2E1X4,66023,Montréal,V,06431,Villeray,100,
H2E1X5,66023,Montréal,V,06431,Villeray,100,
H2E1X6,66023,Montréal,V,06431,Villeray,100,
H2E1X7,66023,Montréal,V,06431,Villeray,100,
H2E1X8,66023,Montréal,V,06431,Villeray,100,
H2E1X9,66023,Montréal,V,06431,Villeray,100,
H2E1Y1,66023,Montréal,V,06431,Villeray,100,
H2E1Y2,66023,Montréal,V,06431,Villeray,100,
H2E1Y3,66023,Montréal,V,06431,Villeray,100,
H2E1Y4,66023,Montréal,V,06431,Villeray,100,
H2E1Y5,66023,Montréal,V,06431,Villeray,100,
H2E1Y6,66023,Montréal,V,06431,Villeray,100,
H2E1Y7,66023,Montréal,V,06431,Villeray,100,
H2E1Y8,66023,Montréal,V,06431,Villeray,100,
H2E1Y9,66023,Montréal,V,06431,Villeray,100,
H2E1Z1,66023,Montréal,V,06431,Villeray,100,
H2E1Z2,66023,Montréal,V,06431,Villeray,100,
H2E1Z3,66023,Montréal,V,06431,Villeray,100,
H2E1Z4,66023,Montréal,V,06431,Villeray,100,
H2E1Z5,66023,Montréal,V,06431,Villeray,100,
H2E1Z6,66023,Montréal,V,06431,Villeray,100,
H2E1Z7,66023,Montréal,V,06431,Villeray,100,
H2E1Z8,66023,Montréal,V,06431,Villeray,100,
