Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2K0A1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0A2,66023,Montréal,V,06323,Montréal - Centre-Sud,100,SQUARE CARTIER
H2K0A3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0A4,66023,Montréal,V,06323,Montréal - Centre-Sud,100,F.I.Q.
H2K0A5,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0A6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0A7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0A8,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0A9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0B1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0B2,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0B3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,LE COURANT 2
H2K0B4,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0B5,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0B6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0B7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0B8,66023,Montréal,V,06323,Montréal - Centre-Sud,100,IMMEUBLE
H2K0B9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,LE COURANT 3
H2K0C1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0C2,66023,Montréal,V,06323,Montréal - Centre-Sud,100,MAISON RADIO CANADA
H2K0C3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0C4,66023,Montréal,V,06323,Montréal - Centre-Sud,100,ESPLANADE CARTIER
H2K0C5,66023,Montréal,V,06322,Plateau-Mont-Royal,100,LA NOTE DES BOIS/WOODNOTE
H2K0C6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0C7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0C8,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K0C9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,ESPLANADE CARTIER PH 2
H2K0E1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,ESPLANADE CARTIER
H2K0E2,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1A1,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A2,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A3,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A4,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A5,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A6,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A7,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A8,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1A9,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B1,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B2,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1B4,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B5,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1B6,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1B8,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1B9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1C1,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1C2,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1C3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,PLACE DELORIMIER
H2K1C7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1C8,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1C9,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1E1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1E2,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1E3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1E4,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1E5,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1E6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1E7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1E8,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1E9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1G1,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1G2,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1G3,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1G4,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1G5,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1G6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1G7,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1G8,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1G9,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1H1,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H2,66023,Montréal,V,06322,Plateau-Mont-Royal,100,
H2K1H3,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H4,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H5,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H6,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H7,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H8,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
H2K1H9,66023,Montréal,V,06323,Montréal - Centre-Sud,100,
