Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2M0A1,66023,Montréal,V,06421,Ahuntsic,100,CONDOS SUR RAYMOND PELLETIER
H2M0A2,66023,Montréal,V,06421,Ahuntsic,100,RESIDENCES DU COLLEGE AHUNTSI
H2M0A3,66023,Montréal,V,06421,Ahuntsic,100,8500 RUE RAYMOND-PELLETIER
H2M0A4,66023,Montréal,V,06421,Ahuntsic,100,8520 RUE RAYMOND-PELLETIER
H2M0A5,66023,Montréal,V,06511,Saint-Michel,100,
H2M0A6,66023,Montréal,V,06421,Ahuntsic,100,
H2M0A7,66023,Montréal,V,06421,Ahuntsic,100,LA COMMISSION DE CONSTRUCTION DU QUEBEC
H2M0A8,66023,Montréal,V,06421,Ahuntsic,100,
H2M0A9,66023,Montréal,V,06421,Ahuntsic,100,
H2M0B1,66023,Montréal,V,06421,Ahuntsic,100,
H2M0B2,66023,Montréal,V,06421,Ahuntsic,100,ORA 1400 RUE JACQUES-CASAULT
H2M0B3,66023,Montréal,V,06421,Ahuntsic,100,
H2M0B4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A1,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A2,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A3,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A5,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A6,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A7,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A8,66023,Montréal,V,06421,Ahuntsic,100,
H2M1A9,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B1,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B2,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B3,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B5,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B6,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B7,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B8,66023,Montréal,V,06421,Ahuntsic,100,
H2M1B9,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C2,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C3,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C5,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C6,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C7,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C8,66023,Montréal,V,06421,Ahuntsic,100,
H2M1C9,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E1,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E2,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E3,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E5,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E6,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E8,66023,Montréal,V,06421,Ahuntsic,100,
H2M1E9,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G1,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G2,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G3,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G4,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G5,66023,Montréal,V,06421,Ahuntsic,100,
H2M1G6,66023,Montréal,V,06421,Ahuntsic,100,
