Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2P0A1,66023,Montréal,V,06431,Villeray,100,
H2P0A2,66023,Montréal,V,06431,Villeray,100,
H2P0A3,66023,Montréal,V,06431,Villeray,100,P.B.A.S.
H2P0A4,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC (CCQ)
H2P0A5,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC (CCQ)
H2P0A6,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC (CCQ)
H2P0A7,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC
H2P0A8,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC
H2P0A9,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC
H2P0B1,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC
H2P0B2,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC
H2P0B3,66023,Montréal,V,06431,Villeray,100,COMMISSION DE LA CONSTRUCTION DU QUEBEC (CCQ)
H2P0B5,66023,Montréal,V,06431,Villeray,100,IMMEUBLE
H2P0B7,66023,Montréal,V,06431,Villeray,100,
H2P0B8,66023,Montréal,V,06431,Villeray,100,
H2P0B9,66023,Montréal,V,06431,Villeray,100,
H2P0C1,66023,Montréal,V,06431,Villeray,100,
H2P0C2,66023,Montréal,V,06431,Villeray,100,
H2P0C3,66023,Montréal,V,06431,Villeray,100,IMMEUBLE APPARTEMENTS
H2P0C4,66023,Montréal,V,06431,Villeray,100,
H2P1A1,66023,Montréal,V,06431,Villeray,100,
H2P1A2,66023,Montréal,V,06431,Villeray,100,PLACE CREMAZIE
H2P1A3,66023,Montréal,V,06431,Villeray,100,
H2P1A4,66023,Montréal,V,06431,Villeray,100,
H2P1A6,66023,Montréal,V,06431,Villeray,100,
H2P1A7,66023,Montréal,V,06431,Villeray,100,
H2P1A8,66023,Montréal,V,06431,Villeray,100,
H2P1B1,66023,Montréal,V,06431,Villeray,100,
H2P1B2,66023,Montréal,V,06431,Villeray,100,
H2P1B4,66023,Montréal,V,06431,Villeray,100,
H2P1B6,66023,Montréal,V,06431,Villeray,100,PENSION TD INSURANCE
H2P1B7,66023,Montréal,V,06431,Villeray,100,
H2P1B9,66023,Montréal,V,06431,Villeray,100,IMMEUBLE COMMERCIAL
H2P1C1,66023,Montréal,V,06431,Villeray,100,
H2P1C3,66023,Montréal,V,06431,Villeray,100,IMMEUBLE COMMERCIAL
H2P1C5,66023,Montréal,V,06431,Villeray,100,
H2P1C6,66023,Montréal,V,06431,Villeray,100,
H2P1C7,66023,Montréal,V,06431,Villeray,100,
H2P1C8,66023,Montréal,V,06431,Villeray,100,
H2P1E1,66023,Montréal,V,06431,Villeray,100,
H2P1E2,66023,Montréal,V,06431,Villeray,100,LA SOCIETE IMMOBILIERE DU QUEBEC
H2P1E3,66023,Montréal,V,06431,Villeray,100,
H2P1E4,66023,Montréal,V,06431,Villeray,100,
H2P1E5,66023,Montréal,V,06431,Villeray,100,
H2P1E6,66023,Montréal,V,06431,Villeray,100,
H2P1E7,66023,Montréal,V,06431,Villeray,100,
H2P1E8,66023,Montréal,V,06431,Villeray,100,
H2P1E9,66023,Montréal,V,06431,Villeray,100,
H2P1G2,66023,Montréal,V,06431,Villeray,100,
H2P1G3,66023,Montréal,V,06431,Villeray,100,
H2P1G4,66023,Montréal,V,06431,Villeray,100,
H2P1G5,66023,Montréal,V,06431,Villeray,100,
H2P1G6,66023,Montréal,V,06431,Villeray,100,
