Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H2T0A1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,MINISTERE DE LA SOLIDARITE SOCIALE
H2T0A2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,RESIDENCE MILE-END
H2T0A3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T0A4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,245 RUE MAGUIRE
H2T0A5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T0A6,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T0A8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A6,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1A8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,CENTRE COMMERCIAL ST-VIATEUR
H2T1A9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1B9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C6,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1C9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E6,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,CATHERINE TEA
H2T1E7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1E9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,HABITATIONS DROLET
H2T1G5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G8,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1G9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,CLINIQUE MEDICALE DE L'EST INC
H2T1H1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H5,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H6,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1H7,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,IMMEUBLE A APPARTEMENTS
H2T1H9,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1J1,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1J2,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1J3,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
H2T1J4,66023,Montréal,V,06321,Saint-Louis-du-Parc,100,
