Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H3N0A2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A5,66023,Montréal,V,06221,Parc-Extension,100,LE CASCADE ROYAL
H3N1A6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1A9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1B9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1C9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1E9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1G9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1H9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1J9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1K9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1L9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1M9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N3,66023,Montréal,V,06221,Parc-Extension,100,JOUETS LOL TOYS
H3N1N4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1N9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1P9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R1,66023,Montréal,V,06221,Parc-Extension,100,IMMEUBLE COMMERCIAL
H3N1R2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1R8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1S9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1T9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V1,66023,Montréal,V,06221,Parc-Extension,100,BEAUMONT PLAZA
H3N1V2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V4,66023,Montréal,V,06221,Parc-Extension,100,LE 495
H3N1V5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1V9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W2,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1W9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X1,66023,Montréal,V,06221,Parc-Extension,100,IMMEUBLE COMMERCIAL
H3N1X4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1X9,66023,Montréal,V,06221,Parc-Extension,100,MACDONALD STEWART BUILDING
H3N1Y3,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Y4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Y5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Y6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Y7,66023,Montréal,V,06221,Parc-Extension,100,IMMEUBLE HABITATION
H3N1Y8,66023,Montréal,V,06221,Parc-Extension,100,PLACE HUTCHISON
H3N1Y9,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z1,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z2,66023,Montréal,V,06221,Parc-Extension,100,IMMEUBLE COMMERCIAL
H3N1Z4,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z5,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z6,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z7,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z8,66023,Montréal,V,06221,Parc-Extension,100,
H3N1Z9,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A2,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A3,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A4,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A5,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A6,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A7,66023,Montréal,V,06221,Parc-Extension,100,
H3N2A8,66023,Montréal,V,06221,Parc-Extension,100,
