Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H4J0A1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J0A2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J0A3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J0A4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,RANGER
H4J1A1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1A9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1B9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,HOPITAL DU SACRE-COEUR
H4J1C6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1C9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1E9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1G9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1H9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1J9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K5,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K6,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K7,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K8,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1K9,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1L1,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1L2,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1L3,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
H4J1L4,66023,Montréal,V,06411,Bordeaux-Cartierville,100,
