Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H7A0A1,65005,Laval,V,13112,Duvernay,100,
H7A0A2,65005,Laval,V,13112,Duvernay,100,
H7A0A3,65005,Laval,V,13112,Duvernay,100,
H7A0A4,65005,Laval,V,13112,Duvernay,100,
H7A0A5,65005,Laval,V,13112,Duvernay,100,
H7A0A6,65005,Laval,V,13112,Duvernay,100,
H7A0A7,65005,Laval,V,13112,Duvernay,100,
H7A0A8,65005,Laval,V,13112,Duvernay,100,
H7A0A9,65005,Laval,V,13112,Duvernay,100,
H7A0B1,65005,Laval,V,13112,Duvernay,100,
H7A0B2,65005,Laval,V,13112,Duvernay,100,
H7A0B3,65005,Laval,V,13112,Duvernay,100,
H7A0B4,65005,Laval,V,13112,Duvernay,100,
H7A0B5,65005,Laval,V,13112,Duvernay,100,
H7A0B6,65005,Laval,V,13112,Duvernay,100,
H7A0B7,65005,Laval,V,13112,Duvernay,100,
H7A0B8,65005,Laval,V,13112,Duvernay,100,
H7A0B9,65005,Laval,V,13112,Duvernay,100,
H7A0C1,65005,Laval,V,13112,Duvernay,100,
H7A0C2,65005,Laval,V,13112,Duvernay,100,
H7A0C3,65005,Laval,V,13112,Duvernay,100,
H7A0C4,65005,Laval,V,13112,Duvernay,100,X
H7A0C5,65005,Laval,V,13112,Duvernay,100,X
H7A0C6,65005,Laval,V,13112,Duvernay,100,
H7A0C7,65005,Laval,V,13112,Duvernay,100,
H7A0C8,65005,Laval,V,13112,Duvernay,100,
H7A0C9,65005,Laval,V,13112,Duvernay,100,X
H7A0E1,65005,Laval,V,13112,Duvernay,100,A-25 LE LIEN INTELLIGENT
H7A0E2,65005,Laval,V,13112,Duvernay,100,
H7A0E3,65005,Laval,V,13112,Duvernay,100,
H7A0E4,65005,Laval,V,13112,Duvernay,100,
H7A0E5,65005,Laval,V,13112,Duvernay,100,IMMEUBLE 249 BOUL. DES CEPAGES
H7A0E6,65005,Laval,V,13112,Duvernay,100,
H7A0E7,65005,Laval,V,13112,Duvernay,100,
H7A0E8,65005,Laval,V,13112,Duvernay,100,
H7A0E9,65005,Laval,V,13112,Duvernay,100,
H7A0G1,65005,Laval,V,13112,Duvernay,100,IMMEUBLE 200 BOUL DES CEPAGES
H7A0G2,65005,Laval,V,13112,Duvernay,100,IMMEUBLE 300 BOUL DES CEPAGES
H7A0G3,65005,Laval,V,13112,Duvernay,100,
H7A0G4,65005,Laval,V,13112,Duvernay,100,
H7A0G5,65005,Laval,V,13112,Duvernay,100,IMMEUBLE 250 BOUL DES CEPAGES
H7A0G6,65005,Laval,V,13112,Duvernay,100,
H7A0G7,65005,Laval,V,13112,Duvernay,100,
H7A0G8,65005,Laval,V,13112,Duvernay,100,
H7A0G9,65005,Laval,V,13112,Duvernay,100,
H7A0H1,65005,Laval,V,13112,Duvernay,100,
H7A0H2,65005,Laval,V,13112,Duvernay,100,
H7A0H3,65005,Laval,V,13112,Duvernay,100,
H7A0H4,65005,Laval,V,13112,Duvernay,100,
H7A0H5,65005,Laval,V,13112,Duvernay,100,
H7A0H6,65005,Laval,V,13112,Duvernay,100,
H7A0H7,65005,Laval,V,13112,Duvernay,100,
H7A0H9,65005,Laval,V,13112,Duvernay,100,
H7A0J2,65005,Laval,V,13112,Duvernay,100,
H7A0J3,65005,Laval,V,13112,Duvernay,100,
H7A0J4,65005,Laval,V,13112,Duvernay,100,
H7A0J5,65005,Laval,V,13112,Duvernay,100,
H7A0J6,65005,Laval,V,13112,Duvernay,100,
H7A0J7,65005,Laval,V,13112,Duvernay,100,
H7A0J8,65005,Laval,V,13112,Duvernay,100,IMMEUBLE CONDOS
H7A0J9,65005,Laval,V,13112,Duvernay,100,
H7A0K1,65005,Laval,V,13112,Duvernay,100,IMMEUBLE HABITATION
H7A1A1,65005,Laval,V,13112,Duvernay,100,
H7A1A2,65005,Laval,V,13112,Duvernay,100,
H7A1A3,65005,Laval,V,13112,Duvernay,100,
H7A1A4,65005,Laval,V,13112,Duvernay,100,
H7A1A5,65005,Laval,V,13112,Duvernay,100,
H7A1A6,65005,Laval,V,13112,Duvernay,100,
H7A1A7,65005,Laval,V,13112,Duvernay,100,
H7A1A8,65005,Laval,V,13112,Duvernay,100,
H7A1A9,65005,Laval,V,13112,Duvernay,100,
H7A1B1,65005,Laval,V,13112,Duvernay,100,
H7A1B2,65005,Laval,V,13112,Duvernay,100,
H7A1B3,65005,Laval,V,13112,Duvernay,100,
H7A1B4,65005,Laval,V,13112,Duvernay,100,
H7A1B5,65005,Laval,V,13112,Duvernay,100,
H7A1B6,65005,Laval,V,13112,Duvernay,100,
H7A1B7,65005,Laval,V,13112,Duvernay,100,
H7A1B8,65005,Laval,V,13112,Duvernay,100,
H7A1B9,65005,Laval,V,13112,Duvernay,100,
H7A1C1,65005,Laval,V,13112,Duvernay,100,
H7A1C2,65005,Laval,V,13112,Duvernay,100,
H7A1C3,65005,Laval,V,13112,Duvernay,100,
H7A1C4,65005,Laval,V,13112,Duvernay,100,
H7A1C5,65005,Laval,V,13112,Duvernay,100,
H7A1C6,65005,Laval,V,13112,Duvernay,100,
H7A1C7,65005,Laval,V,13112,Duvernay,100,
H7A1C8,65005,Laval,V,13112,Duvernay,100,
H7A1C9,65005,Laval,V,13112,Duvernay,100,
H7A1E1,65005,Laval,V,13112,Duvernay,100,
H7A1E2,65005,Laval,V,13112,Duvernay,100,
H7A1E3,65005,Laval,V,13112,Duvernay,100,
H7A1E4,65005,Laval,V,13112,Duvernay,100,
H7A1E5,65005,Laval,V,13112,Duvernay,100,
H7A1E6,65005,Laval,V,13112,Duvernay,100,
H7A1E7,65005,Laval,V,13112,Duvernay,100,
H7A1E8,65005,Laval,V,13112,Duvernay,100,
H7A1E9,65005,Laval,V,13112,Duvernay,100,
H7A1G1,65005,Laval,V,13112,Duvernay,100,
H7A1G2,65005,Laval,V,13112,Duvernay,100,
H7A1G3,65005,Laval,V,13112,Duvernay,100,
H7A1G4,65005,Laval,V,13112,Duvernay,100,
H7A1G5,65005,Laval,V,13112,Duvernay,100,
H7A1G6,65005,Laval,V,13112,Duvernay,100,
H7A1G7,65005,Laval,V,13112,Duvernay,100,
H7A1G8,65005,Laval,V,13112,Duvernay,100,
H7A1G9,65005,Laval,V,13112,Duvernay,100,
H7A1H1,65005,Laval,V,13112,Duvernay,100,
H7A1H2,65005,Laval,V,13112,Duvernay,100,
H7A1H3,65005,Laval,V,13112,Duvernay,100,
H7A1H4,65005,Laval,V,13112,Duvernay,100,
H7A1H5,65005,Laval,V,13112,Duvernay,100,
H7A1H6,65005,Laval,V,13112,Duvernay,100,
H7A1H7,65005,Laval,V,13112,Duvernay,100,
H7A1H8,65005,Laval,V,13112,Duvernay,100,
H7A1H9,65005,Laval,V,13112,Duvernay,100,
H7A1J1,65005,Laval,V,13112,Duvernay,100,
H7A1J2,65005,Laval,V,13112,Duvernay,100,
H7A1J3,65005,Laval,V,13112,Duvernay,100,
H7A1J4,65005,Laval,V,13112,Duvernay,100,
H7A1J5,65005,Laval,V,13112,Duvernay,100,
H7A1J6,65005,Laval,V,13112,Duvernay,100,
H7A1J7,65005,Laval,V,13112,Duvernay,100,
H7A1J8,65005,Laval,V,13112,Duvernay,100,
H7A1J9,65005,Laval,V,13112,Duvernay,100,
H7A1K1,65005,Laval,V,13112,Duvernay,100,
H7A1K2,65005,Laval,V,13112,Duvernay,100,
H7A1K3,65005,Laval,V,13112,Duvernay,100,
H7A1K4,65005,Laval,V,13112,Duvernay,100,
H7A1K5,65005,Laval,V,13112,Duvernay,100,
H7A1K6,65005,Laval,V,13112,Duvernay,100,
H7A1K7,65005,Laval,V,13112,Duvernay,100,
H7A1K8,65005,Laval,V,13112,Duvernay,100,
H7A1K9,65005,Laval,V,13112,Duvernay,100,
H7A1L1,65005,Laval,V,13112,Duvernay,100,
H7A1L2,65005,Laval,V,13112,Duvernay,100,
H7A1L3,65005,Laval,V,13112,Duvernay,100,
H7A1L4,65005,Laval,V,13112,Duvernay,100,
H7A1L5,65005,Laval,V,13112,Duvernay,100,
H7A1L6,65005,Laval,V,13112,Duvernay,100,
H7A1L7,65005,Laval,V,13112,Duvernay,100,
H7A1L8,65005,Laval,V,13112,Duvernay,100,
H7A1L9,65005,Laval,V,13112,Duvernay,100,
H7A1M1,65005,Laval,V,13112,Duvernay,100,
H7A1M2,65005,Laval,V,13112,Duvernay,100,
H7A1M3,65005,Laval,V,13112,Duvernay,100,
H7A1M4,65005,Laval,V,13112,Duvernay,100,
H7A1M5,65005,Laval,V,13112,Duvernay,100,
H7A1M6,65005,Laval,V,13112,Duvernay,100,
H7A1M7,65005,Laval,V,13112,Duvernay,100,
H7A1M8,65005,Laval,V,13112,Duvernay,100,
H7A1M9,65005,Laval,V,13112,Duvernay,100,
H7A1N1,65005,Laval,V,13112,Duvernay,100,
H7A1N2,65005,Laval,V,13112,Duvernay,100,
H7A1N3,65005,Laval,V,13112,Duvernay,100,
H7A1N4,65005,Laval,V,13112,Duvernay,100,
H7A1N5,65005,Laval,V,13112,Duvernay,100,
H7A1N6,65005,Laval,V,13112,Duvernay,100,
H7A1N7,65005,Laval,V,13112,Duvernay,100,
H7A1N8,65005,Laval,V,13112,Duvernay,100,
H7A1N9,65005,Laval,V,13112,Duvernay,100,
H7A1P1,65005,Laval,V,13112,Duvernay,100,
H7A1P2,65005,Laval,V,13112,Duvernay,100,
H7A1P3,65005,Laval,V,13112,Duvernay,100,
H7A1P4,65005,Laval,V,13112,Duvernay,100,
H7A1P5,65005,Laval,V,13112,Duvernay,100,
H7A1P6,65005,Laval,V,13112,Duvernay,100,
H7A1P7,65005,Laval,V,13112,Duvernay,100,
H7A1P8,65005,Laval,V,13112,Duvernay,100,
H7A1P9,65005,Laval,V,13112,Duvernay,100,
H7A1R1,65005,Laval,V,13112,Duvernay,100,
H7A1R2,65005,Laval,V,13112,Duvernay,100,
H7A1R3,65005,Laval,V,13112,Duvernay,100,
H7A1R4,65005,Laval,V,13112,Duvernay,100,
H7A1R5,65005,Laval,V,13112,Duvernay,100,
H7A1R6,65005,Laval,V,13112,Duvernay,100,
H7A1R7,65005,Laval,V,13112,Duvernay,100,
H7A1R8,65005,Laval,V,13112,Duvernay,100,
H7A1R9,65005,Laval,V,13112,Duvernay,100,
H7A1S1,65005,Laval,V,13112,Duvernay,100,
H7A1S2,65005,Laval,V,13112,Duvernay,100,
H7A1S3,65005,Laval,V,13112,Duvernay,100,
H7A1S4,65005,Laval,V,13112,Duvernay,100,
H7A1S5,65005,Laval,V,13112,Duvernay,100,
H7A1S6,65005,Laval,V,13112,Duvernay,100,
H7A1S7,65005,Laval,V,13112,Duvernay,100,
H7A1S8,65005,Laval,V,13112,Duvernay,100,
H7A1S9,65005,Laval,V,13112,Duvernay,100,
H7A1T1,65005,Laval,V,13112,Duvernay,100,
H7A1T2,65005,Laval,V,13112,Duvernay,100,
H7A1T3,65005,Laval,V,13112,Duvernay,100,
H7A1T4,65005,Laval,V,13112,Duvernay,100,
