Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H7V0A1,65005,Laval,V,13114,Chomedey,100,"BOISE NOTRE-DAME, PHASE 4"
H7V0A2,65005,Laval,V,13114,Chomedey,100,LE 1313 BOULEVARD CHOMEDEY
H7V0A3,65005,Laval,V,13114,Chomedey,100,
H7V0A4,65005,Laval,V,13114,Chomedey,100,
H7V0A5,65005,Laval,V,13114,Chomedey,100,
H7V0A6,65005,Laval,V,13114,Chomedey,100,BOISE NOTRE-DAME PHASE 2
H7V0A7,65005,Laval,V,13114,Chomedey,100,BOISE NOTRE-DAME PHASE 3
H7V0A8,65005,Laval,V,13114,Chomedey,100,
H7V0A9,65005,Laval,V,13114,Chomedey,100,LA COUR MUNICIPALE DE LAVAL
H7V0B1,65005,Laval,V,13114,Chomedey,100,CHATEAUX DES BOULEVARDS
H7V0B2,65005,Laval,V,13114,Chomedey,100,"BOISE NOTRE-DAME, PHASE 5"
H7V0B3,65005,Laval,V,13114,Chomedey,100,
H7V0B4,65005,Laval,V,13114,Chomedey,100,
H7V0B5,65005,Laval,V,13114,Chomedey,100,
H7V0B6,65005,Laval,V,13114,Chomedey,100,
H7V0B7,65005,Laval,V,13114,Chomedey,100,
H7V0B8,65005,Laval,V,13114,Chomedey,100,
H7V0B9,65005,Laval,V,13114,Chomedey,100,EQUINOXE LEVESQUE
H7V0C2,65005,Laval,V,13114,Chomedey,100,IMMEUBLE
H7V0C3,65005,Laval,V,13114,Chomedey,100,IMMEUBLE
H7V0C4,65005,Laval,V,13114,Chomedey,100,IMMEUBLE
H7V0C5,65005,Laval,V,13114,Chomedey,100,
H7V0C6,65005,Laval,V,13114,Chomedey,100,
H7V0C7,65005,Laval,V,13114,Chomedey,100,
H7V0C8,65005,Laval,V,13114,Chomedey,100,MOOV PH1
H7V0C9,65005,Laval,V,13114,Chomedey,100,IMMEUBLE HABITATION
