Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H9H0A1,66023,Montréal,V,06112,Pierrefonds,100,
H9H0A2,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A3,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A4,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A5,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A6,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A7,66102,Kirkland,V,06111,Lac Saint-Louis,100,LE 17001
H9H0A8,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0A9,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0B1,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0B2,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0B3,66023,Montréal,V,06112,Pierrefonds,100,
H9H0B4,66023,Montréal,V,06112,Pierrefonds,100,CANADA POST
H9H0B5,66023,Montréal,V,06112,Pierrefonds,100,
H9H0B6,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0B7,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0B8,66023,Montréal,V,06112,Pierrefonds,100,
H9H0B9,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C1,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C2,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C3,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C4,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C5,66102,Kirkland,V,06111,Lac Saint-Louis,100,
H9H0C6,66023,Montréal,V,06112,Pierrefonds,100,
H9H0C7,66023,Montréal,V,06112,Pierrefonds,100,
H9H0C8,66142,Dollard-Des Ormeaux,V,06113,Dollard-des-Ormeaux,100,BALDWIN PHASE 1
H9H0C9,66142,Dollard-Des Ormeaux,V,06113,Dollard-des-Ormeaux,100,BALDWIN PHASE 2
H9H1A1,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A2,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A3,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A4,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A5,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A6,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A7,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A8,66023,Montréal,V,06112,Pierrefonds,100,
H9H1A9,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B1,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B2,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B3,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B4,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B5,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B6,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B7,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B8,66023,Montréal,V,06112,Pierrefonds,100,
H9H1B9,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C1,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C2,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C3,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C4,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C5,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C6,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C7,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C8,66023,Montréal,V,06112,Pierrefonds,100,
H9H1C9,66023,Montréal,V,06112,Pierrefonds,100,
H9H1E1,66023,Montréal,V,06112,Pierrefonds,100,
H9H1E2,66023,Montréal,V,06112,Pierrefonds,100,
