Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
H9R0A1,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,LE VIVALIS
H9R0A2,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0A3,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,MASTERPIECE L'OUEST DE L'ILE
H9R0A4,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,AVON CANADA
H9R0A5,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,X
H9R0A6,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0A7,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0A8,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0A9,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B1,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B2,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B3,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B5,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B6,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B7,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,POINTE-CLAIRE PDF
H9R0B8,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0B9,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,VENTURA
H9R0C1,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0C2,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0C3,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0C4,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0C5,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE APPARTEMENTS
H9R0C6,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE APPARTEMENTS
H9R0C7,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE APPARTEMENTS
H9R0C8,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,KUBIK IMMEUBLE HABITATION
H9R0C9,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,LIB POINTE-CLAIRE
H9R0E1,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,LE SELECTION WEST ISLAND
H9R0E2,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0E3,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE
H9R0E4,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,KUBIK PHASE 2
H9R0E5,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,VENTURA CONDOS
H9R0E6,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0E7,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0E8,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE APP
H9R0E9,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0G1,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0G2,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,IMMEUBLE
H9R0G3,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
H9R0G4,66097,Pointe-Claire,V,06111,Lac Saint-Louis,100,
