Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J0J0A1,56097,Mont-Saint-Grégoire,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0A2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0A3,56105,Sainte-Brigide-d'Iberville,M,05111,Cowansville-Farnham-Bedford,100,
J0J0A4,56042,Henryville,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0A5,68030,Napierville,M,16343,Les Jardins-de-Napierville,100,
J0J0A6,56060,Sainte-Anne-de-Sabrevois,P,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0A7,56010,Saint-Georges-de-Clarenceville,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0A8,68005,Saint-Bernard-de-Lacolle,M,16343,Les Jardins-de-Napierville,100,
J0J0A9,56065,Saint-Blaise-sur-Richelieu,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0B1,46017,Saint-Armand,M,05111,Cowansville-Farnham-Bedford,100,
J0J0B2,46095,Saint-Ignace-de-Stanbridge,M,05111,Cowansville-Farnham-Bedford,100,
J0J0B3,46035,Bedford,V,05111,Cowansville-Farnham-Bedford,100,
J0J0B4,56005,Venise-en-Québec,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0B5,46100,Notre-Dame-de-Stanbridge,M,05111,Cowansville-Farnham-Bedford,100,
J0J0B6,46025,Pike River,M,05111,Cowansville-Farnham-Bedford,100,
J0J0B7,46045,Stanbridge East,M,05111,Cowansville-Farnham-Bedford,100,
J0J0B8,56023,Lacolle,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0B9,46017,Saint-Armand,M,05111,Cowansville-Farnham-Bedford,100,
J0J0C1,56055,Saint-Alexandre,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0C2,46030,Stanbridge Station,M,05111,Cowansville-Farnham-Bedford,100,
J0J0C3,56065,Saint-Blaise-sur-Richelieu,M,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J0J0C4,46010,Frelighsburg,M,05111,Cowansville-Farnham-Bedford,100,
J0J1A0,46045,Stanbridge East,M,05111,Cowansville-Farnham-Bedford,100,
