Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J1K0A1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A5,43027,Sherbrooke,V,05151,Sherbrooke,100,CENTRE DE TECHNOLOGIES AVANCEE
J1K0A6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K0A9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1A9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1B9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1C9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1E9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1G9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1H9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1J9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1K9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1L9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1M9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1N9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1P9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1R9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1S9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1T9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1V9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1W9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1X9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Y9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z2,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z3,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z4,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z5,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z6,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z7,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z8,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K1Z9,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K2A1,43027,Sherbrooke,V,05151,Sherbrooke,100,
J1K2A2,43027,Sherbrooke,V,05151,Sherbrooke,100,
