Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J1S0A1,42088,Windsor,V,05161,Val Saint-François,100,
J1S0A2,42088,Windsor,V,05161,Val Saint-François,100,
J1S0A3,42088,Windsor,V,05161,Val Saint-François,100,
J1S0A4,42088,Windsor,V,05161,Val Saint-François,100,
J1S0A5,42088,Windsor,V,05161,Val Saint-François,100,
J1S0A6,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0A7,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0A8,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0A9,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B1,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B2,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B3,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B4,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B5,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B6,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0B7,42088,Windsor,V,05161,Val Saint-François,100,
J1S0B8,42088,Windsor,V,05161,Val Saint-François,100,
J1S0B9,42088,Windsor,V,05161,Val Saint-François,100,
J1S0C1,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C2,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C3,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C4,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C5,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C6,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C7,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C8,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0C9,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E1,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E2,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E3,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E4,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E5,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E6,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E7,42088,Windsor,V,05161,Val Saint-François,100,
J1S0E8,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0E9,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0G1,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G2,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G3,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G4,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G5,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G6,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G7,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G8,42088,Windsor,V,05161,Val Saint-François,100,
J1S0G9,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H1,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H2,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H3,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H4,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H5,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H6,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H7,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H8,42088,Windsor,V,05161,Val Saint-François,100,
J1S0H9,42095,Val-Joli,M,05161,Val Saint-François,100,
J1S0J1,42088,Windsor,V,05161,Val Saint-François,100,
J1S0J2,42088,Windsor,V,05161,Val Saint-François,100,
J1S0L5,42100,Saint-Claude,M,05161,Val Saint-François,100,
J1S1A1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1A9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1B9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1C9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1E9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1G9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1H9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J5,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J6,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J7,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J8,42088,Windsor,V,05161,Val Saint-François,100,
J1S1J9,42088,Windsor,V,05161,Val Saint-François,100,
J1S1K1,42088,Windsor,V,05161,Val Saint-François,100,
J1S1K2,42088,Windsor,V,05161,Val Saint-François,100,
J1S1K3,42088,Windsor,V,05161,Val Saint-François,100,
J1S1K4,42088,Windsor,V,05161,Val Saint-François,100,
J1S1K5,42088,Windsor,V,05161,Val Saint-François,100,
