Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J2H0A1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0A9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0B9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0C9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0E9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0G9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H7,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H8,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0H9,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J1,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J2,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J3,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J4,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J5,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
J2H0J6,47017,Granby,V,05121,Granby-Shefford-Bromont,100,
