Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J2W0A1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A4,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A5,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,LOGISTIK UNICORP INC
J2W0A7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A8,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0A9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B4,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B5,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B8,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0B9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C8,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0C9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E4,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E5,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0E9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,S.A.Q.
J2W0G2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G4,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G5,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G8,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0G9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H2,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H3,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H4,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H5,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H6,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H7,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H8,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0H9,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
J2W0J1,56083,Saint-Jean-sur-Richelieu,V,16122,Saint-Jean-sur-Richelieu - Saint-Luc,100,
