Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J3E0A1,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A2,59010,Sainte-Julie,V,16213,Lajemmerais,100,POLICE RICHELIEU ST-LAURENT
J3E0A3,59010,Sainte-Julie,V,16213,Lajemmerais,100,BIBLIOTHEQUE
J3E0A4,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A5,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A6,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A7,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A8,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0A9,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B1,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B2,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B3,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B4,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B5,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B6,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B7,59010,Sainte-Julie,V,16213,Lajemmerais,100,RESIDENCE SOLEIL
J3E0B8,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0B9,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C1,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C2,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C3,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C4,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C5,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C6,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C7,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0C8,59010,Sainte-Julie,V,16213,Lajemmerais,100,TRIGONE VIVACITE
J3E0C9,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E1,59010,Sainte-Julie,V,16213,Lajemmerais,100,LE 730
J3E0E2,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E3,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E4,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E6,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E7,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E8,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0E9,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G1,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G2,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G4,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G5,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G6,59010,Sainte-Julie,V,16213,Lajemmerais,100,
J3E0G7,59010,Sainte-Julie,V,16213,Lajemmerais,100,
