Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J4G0A1,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A1,58227,Longueuil,V,16212,Longueuil-Est,100,PRATT & WHITNEY CANADA
J4G1A2,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A3,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A4,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A5,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A6,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A7,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A8,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1A9,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B1,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B2,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B3,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B4,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B5,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B6,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B7,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B8,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1B9,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C1,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C2,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C3,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C4,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C5,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C6,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C7,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C8,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1C9,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E1,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E2,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E3,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E4,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E5,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E6,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E7,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1E8,58227,Longueuil,V,16212,Longueuil-Est,100,ACIER MUTUAL
J4G1E9,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1G1,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1G2,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1G3,58227,Longueuil,V,16212,Longueuil-Est,100,
J4G1G4,58227,Longueuil,V,16212,Longueuil-Est,100,ADP
