Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J5B0A1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A7,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A8,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0A9,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0B1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0B2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B0B3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,HARMONIE
J5B1A1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A7,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A8,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1A9,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B7,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B8,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1B9,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C7,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C8,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1C9,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E7,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E8,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1E9,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G1,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G2,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G3,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G4,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G5,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
J5B1G6,67025,Delson,V,16342,Saint-Constant - La Prairie,100,
