Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J7T0A1,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A2,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A3,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A4,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A5,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0A6,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A7,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0A8,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0A9,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0B1,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B2,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B3,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B5,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B6,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B7,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B8,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0B9,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0C1,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0C2,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0C3,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C4,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C5,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C6,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C7,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C8,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0C9,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0E1,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E2,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E3,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E4,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E5,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E6,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E7,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0E8,71083,Vaudreuil-Dorion,V,16311,Vaudreuil-Soulanges,100,
J7T0G2,71105,Saint-Lazare,V,16311,Vaudreuil-Soulanges,100,
J7T0G3,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0G4,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0G5,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
J7T0G6,71050,Les Cèdres,M,16311,Vaudreuil-Soulanges,100,
