Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J8A0A1,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A2,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A3,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A4,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A5,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A6,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A7,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A8,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0A9,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B1,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B2,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B3,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B4,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B6,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B7,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B8,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0B9,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C1,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C2,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C3,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C4,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C5,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C6,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C7,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C8,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0C9,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E1,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E2,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E3,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E4,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E5,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E6,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E7,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E8,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0E9,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0G1,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0G2,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0G3,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
J8A0G4,75045,Saint-Hippolyte,M,15161,La Rivière-du-Nord - Mirabel,100,
