Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J8P0A1,81017,Gatineau,V,07143,Gatineau,100,
J8P0A2,81017,Gatineau,V,07143,Gatineau,100,
J8P0A3,81017,Gatineau,V,07143,Gatineau,100,
J8P0A4,81017,Gatineau,V,07143,Gatineau,100,
J8P0A5,81017,Gatineau,V,07143,Gatineau,100,
J8P0A6,81017,Gatineau,V,07143,Gatineau,100,
J8P0A7,81017,Gatineau,V,07143,Gatineau,100,
J8P0A8,81017,Gatineau,V,07143,Gatineau,100,
J8P0A9,81017,Gatineau,V,07143,Gatineau,100,
J8P0B1,81017,Gatineau,V,07143,Gatineau,100,
J8P0B2,81017,Gatineau,V,07143,Gatineau,100,
J8P0B3,81017,Gatineau,V,07143,Gatineau,100,
J8P0B4,81017,Gatineau,V,07143,Gatineau,100,
J8P0B5,81017,Gatineau,V,07143,Gatineau,100,
J8P0B6,81017,Gatineau,V,07143,Gatineau,100,
J8P0B7,81017,Gatineau,V,07143,Gatineau,100,
J8P0B8,81017,Gatineau,V,07143,Gatineau,100,
J8P0B9,81017,Gatineau,V,07143,Gatineau,100,
J8P0C1,81017,Gatineau,V,07143,Gatineau,100,
J8P0C2,81017,Gatineau,V,07143,Gatineau,100,
J8P0C3,81017,Gatineau,V,07143,Gatineau,100,
J8P0C4,81017,Gatineau,V,07143,Gatineau,100,
J8P0C5,81017,Gatineau,V,07143,Gatineau,100,
J8P0C6,81017,Gatineau,V,07143,Gatineau,100,
J8P0C7,81017,Gatineau,V,07143,Gatineau,100,
J8P0C8,81017,Gatineau,V,07143,Gatineau,100,
J8P0C9,81017,Gatineau,V,07143,Gatineau,100,
J8P0E1,81017,Gatineau,V,07143,Gatineau,100,
J8P0E2,81017,Gatineau,V,07143,Gatineau,100,
J8P0E3,81017,Gatineau,V,07143,Gatineau,100,
J8P0E4,81017,Gatineau,V,07143,Gatineau,100,
J8P0E5,81017,Gatineau,V,07143,Gatineau,100,LE FAUBOURG SAINT-JEAN-MARIE-V
J8P0E6,81017,Gatineau,V,07143,Gatineau,100,
J8P0E7,81017,Gatineau,V,07143,Gatineau,100,
J8P0E8,81017,Gatineau,V,07143,Gatineau,100,
J8P0E9,81017,Gatineau,V,07143,Gatineau,100,
J8P0G1,81017,Gatineau,V,07143,Gatineau,100,
J8P0G2,81017,Gatineau,V,07143,Gatineau,100,
J8P0G3,81017,Gatineau,V,07143,Gatineau,100,
J8P0G4,81017,Gatineau,V,07143,Gatineau,100,
J8P0G5,81017,Gatineau,V,07143,Gatineau,100,
J8P0G6,81017,Gatineau,V,07143,Gatineau,100,
J8P0G7,81017,Gatineau,V,07143,Gatineau,100,
J8P0G8,81017,Gatineau,V,07143,Gatineau,100,
J8P0G9,81017,Gatineau,V,07143,Gatineau,100,
J8P0H1,81017,Gatineau,V,07143,Gatineau,100,
J8P0H2,81017,Gatineau,V,07143,Gatineau,100,
J8P0H3,81017,Gatineau,V,07143,Gatineau,100,
J8P0H4,81017,Gatineau,V,07143,Gatineau,100,
J8P0H5,81017,Gatineau,V,07143,Gatineau,100,
J8P0H6,81017,Gatineau,V,07143,Gatineau,100,
J8P0H7,81017,Gatineau,V,07143,Gatineau,100,
J8P0H8,81017,Gatineau,V,07143,Gatineau,100,
J8P0H9,81017,Gatineau,V,07143,Gatineau,100,
J8P0J1,81017,Gatineau,V,07143,Gatineau,100,
J8P0J2,81017,Gatineau,V,07143,Gatineau,100,
J8P0J3,81017,Gatineau,V,07143,Gatineau,100,
J8P0J4,81017,Gatineau,V,07143,Gatineau,100,
J8P0J5,81017,Gatineau,V,07143,Gatineau,100,
J8P0J6,81017,Gatineau,V,07143,Gatineau,100,
J8P0J7,81017,Gatineau,V,07143,Gatineau,100,
J8P0J8,81017,Gatineau,V,07143,Gatineau,100,
J8P0J9,81017,Gatineau,V,07143,Gatineau,100,
J8P0K1,81017,Gatineau,V,07143,Gatineau,100,
J8P0K2,81017,Gatineau,V,07143,Gatineau,100,
J8P0K3,81017,Gatineau,V,07143,Gatineau,100,
J8P0K4,81017,Gatineau,V,07143,Gatineau,100,
J8P0K5,81017,Gatineau,V,07143,Gatineau,100,
J8P0K6,81017,Gatineau,V,07143,Gatineau,100,
J8P0K7,81017,Gatineau,V,07143,Gatineau,100,
J8P0K8,81017,Gatineau,V,07143,Gatineau,100,
J8P0K9,81017,Gatineau,V,07143,Gatineau,100,
J8P0L1,81017,Gatineau,V,07143,Gatineau,100,
J8P0L2,81017,Gatineau,V,07143,Gatineau,100,
J8P0L3,81017,Gatineau,V,07143,Gatineau,100,
J8P0L4,81017,Gatineau,V,07143,Gatineau,100,
J8P0L5,81017,Gatineau,V,07143,Gatineau,100,
J8P0L6,81017,Gatineau,V,07143,Gatineau,100,
J8P0L7,81017,Gatineau,V,07143,Gatineau,100,
J8P0L8,81017,Gatineau,V,07143,Gatineau,100,
J8P0L9,81017,Gatineau,V,07143,Gatineau,100,
J8P0M1,81017,Gatineau,V,07143,Gatineau,100,
J8P0M2,81017,Gatineau,V,07143,Gatineau,100,
J8P0M3,81017,Gatineau,V,07143,Gatineau,100,
J8P0M4,81017,Gatineau,V,07143,Gatineau,100,
J8P0M5,81017,Gatineau,V,07143,Gatineau,100,
J8P0M6,81017,Gatineau,V,07143,Gatineau,100,DEVCORE
J8P1A1,81017,Gatineau,V,07143,Gatineau,100,
J8P1A2,81017,Gatineau,V,07143,Gatineau,100,
J8P1A3,81017,Gatineau,V,07143,Gatineau,100,
J8P1A4,81017,Gatineau,V,07143,Gatineau,100,
J8P1A5,81017,Gatineau,V,07143,Gatineau,100,
J8P1A6,81017,Gatineau,V,07143,Gatineau,100,
J8P1A7,81017,Gatineau,V,07143,Gatineau,100,
J8P1A8,81017,Gatineau,V,07143,Gatineau,100,
J8P1A9,81017,Gatineau,V,07143,Gatineau,100,
J8P1B1,81017,Gatineau,V,07143,Gatineau,100,
J8P1B2,81017,Gatineau,V,07143,Gatineau,100,
J8P1B3,81017,Gatineau,V,07143,Gatineau,100,
J8P1B4,81017,Gatineau,V,07143,Gatineau,100,
J8P1B5,81017,Gatineau,V,07143,Gatineau,100,
