Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J9L0A2,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A3,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A4,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A5,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A6,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A7,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A8,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0A9,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B1,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B2,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B3,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B4,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B5,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B6,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B7,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B8,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0B9,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C1,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C2,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C3,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C4,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C5,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C6,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C7,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C8,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0C9,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E1,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E2,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E3,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E4,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E5,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E6,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E7,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E8,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
J9L0E9,79088,Mont-Laurier,V,15111,Antoine-Labelle,100,
