Code postal,Code mun.,Nom mun.,Statut,Code CLSC(Territoire),Nom CLSC(Territoire),CPCL%,Desc.
J9X0A1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,ASSURANCE PARAENTALE
J9X0A2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,LES JARDINS DU PATRIMOINE R-N
J9X0A6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0A9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0B9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0C9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0E9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X0G7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,AGENCE DU REVENU CANADA
J9X0G8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1A9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1B9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1C9,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E1,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E2,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,EDIFICE GLENOR
J9X1E3,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E4,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E5,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E6,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E7,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
J9X1E8,86042,Rouyn-Noranda,V,08131,Rouyn-Noranda,100,
